20191026,巴南,八公里,麒龙轻轨站旁+丽都锦城+住家装修三房+朝南+高楼层,112万,高楼层(共33层)                                                    | 2013年建 |                                 3室1厅 | 114.07平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_SRQGNNbrP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,户型方正，楼层好采光好，近轻轨交通出行方便,66万,中楼层(共27层)                                                    | 2006年建 |                                 2室1厅 | 63平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_vmlULgOOm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蓝光林肯公园  朝中庭 居家安静 清水三房,123万,中楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 109.53平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-90a8eeae-70e3-42d9-ae7d-2e26f3cad2a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,正规清水三房两卫，交通方便，户型方正，不用改动,95万,高楼层(共17层)                                                    | 2014年建 |                                 3室2厅 | 97.94平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-45285fd7-f09c-4f6f-9ba8-455fcc00e06e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,此房交通方便，采光好，小区配套设施齐全,95万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_Hk7wtZZ0M_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,次新小区 保利物业小区环境新保持好 轻轨公交交通便捷,95万,中楼层(共18层)                                                    | 2015年建 |                                 2室2厅 | 70平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d7f6f541-72f5-479f-82ab-7fb71d6f4309.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蓝光林肯公园清水四房 119平 140万,140万,高楼层(共33层)                                                    | 2018年建 |                                 4室2厅 | 119.45平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-0f87e5ab-c0cd-4205-9b47-8ecd4e63e786.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蔚蓝时光大四房户型 户型方正 住家精装拎包入住,133万,中楼层(共27层)                                                    | 2006年建 |                                 4室2厅 | 143.78平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Ol8ie6f9G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蓝光林肯公园+正规三房两卫+清水房+看房方便。,118万,中楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 100.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_MUQRHmGDb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,轻轨南山下+稀有清水三房+次新盘,82万,中楼层(共16层)                                                    | 2013年建 |                                 3室1厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_PkpMjp28q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,保利轻轨小高层  配套齐全 小区配套成熟,100万,低楼层(共17层)                                                    | 2015年建 |                                 2室1厅 | 69.02平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_xpRjAavO4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,近轻轨，交通便利，生活配套成熟,92万,中楼层(共19层)                                                    | 2015年建 |                                 2室1厅 | 70.03平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_GyX7yHIcD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,保利林语溪 精装住家两房 近轻轨交通便利  诚心出售,99万,低楼层(共17层)                                                    | 2015年建 |                                 2室1厅 | 70.04平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_z9eQr6F5X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蓝光林肯公园 正规三房两卫 环境舒适 配套齐全,115万,低楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 100.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6f012a95-43b7-4fa2-a8f9-d7a275738f21.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,蓝光林肯公园+正规三房+看房方便,119万,低楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 100.2平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-f80d0f9e-ec4a-4364-95cd-d111000e96f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,渝南大道32号丽都锦城+住家装修小三房+中间楼层,96万,高楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 83平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-f3f9cdaf-ace2-4ea6-a0ab-a1f6094f5a40.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,经典两房住家精装修，保持好，近轻轨,102万,低楼层(共19层)                                                    | 2015年建 |                                 2室1厅 | 67.39平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_HVLwCTjZ8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,龙成小区 清水两房 业主诚心出售 随时看房,72万,中楼层(共17层)                                                    | 2014年建 |                                 2室1厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a8bf3e43-ace2-4607-b249-c2bd4ae2542a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,丽都锦城方正三房，诚心出售，朝小区中庭，采光充足,120万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 126平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/33acf16e-a3fe-4314-b3f8-c4ac79a806ae_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,巴南,八公里,近轻轨 朝中庭 清水三房 户型方正,82万,中楼层(共17层)                                                    | 2016年建 |                                 3室1厅 | 83.92平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_X8B58psCe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
