20191026,大渡口,巴国城,双山的水平面高点 该户型通风透气 视野开阔 采光好.,87万,高楼层(共31层)                                                    | 2013年建 |                                 2室2厅 | 73.47平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-bcaf7a59-edef-47a5-8100-2186c1e01cc1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城   一居室   带装修,79万,中楼层(共32层)                                                    | 2015年建 |                                 2室2厅 | 61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b0eb1a03-197c-4acd-9b41-4b529a96fa26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,全实木家具，装修精致，业主诚心出售！！！,165万,高楼层(共34层)                                                    | 2010年建 |                                 3室2厅 | 124.02平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-94e3ba19-0976-45b0-bf5d-7b266f970e9a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,晋愉盛世融城 精装三房带书房 不临街 客厅带阳台,133万,中楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 105平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-c8074c11-e992-4774-ad47-ea8fbe5fec49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,精装两房  此房已满两年，户型方正，出行很便利，,89万,低楼层(共31层)                                                    | 2013年建 |                                 2室1厅 | 70.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1401484f-591e-4105-b355-3e57cd623128.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城商圈  金科品质楼盘 典型小户型出售,35万,中楼层(共31层)                                                    | 2009年建 |                                 1室0厅 | 34平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_u7OpXzwde_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,诗情广场 保利品质小区 精装修2房 朝向开阔,105万,中楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 76.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_oGXn772uA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,金科西城大院 2房2厅 有装修有家电 看小区中庭,102万,中楼层(共34层)                                                    | 2010年建 |                                 2室2厅 | 80.19平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9f6e3ae0-605a-4290-9059-8e57de9d463c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门 正规一房 视野开阔 采光好 出行很便利,73万,低楼层(共26层)                                                    | 2013年建 |                                 1室1厅 | 59.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_fm8mxs3q2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,户型方正，精装修20万，采光全明，大阳台视野开阔,105万,低楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 81.91平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_6ZzgHaaMW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,双山的水平面高点 该户型通风透气 视野开阔 采光好。,65万,高楼层(共26层)                                                    | 2013年建 |                                 1室1厅 | 56平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_NPIDrcYh7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,精品三房、低价低价、诚心出售、看房方便、,120万,高楼层(共34层)                                                    | 2010年建 |                                 3室2厅 | 93.8平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_Pqa7mrQnB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国龙庭精装修1室2厅户型方正,76万,中楼层(共32层)                                                    | 2015年建 |                                 1室2厅 | 61.25平米                                  | 南 西,https://ke-image.ljcdn.com/500000-inspection/pc1_ElPRos31k.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城商圈 靠二郎 品质金科 正规两房 可拎包入住,98万,低楼层(共34层)                                                    | 2010年建 |                                 2室2厅 | 72平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_WF3sXjyOF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,晋愉盛世融城 精装修两房 客厅带阳台 朝中庭 不临街,108万,低楼层(共27层)                                                    | 2011年建 |                                 2室2厅 | 80.86平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-7a93d4c1-38c8-427a-b478-98eb093d2f9d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,精装三房，诚心出售，看房方便，住家舒适,105万,低楼层(共18层)                                                    | 2008年建 |                                 3室2厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_NqbE9HHAS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,中交品质2房，公园旁的房子，首付只要27万、拎包入住,88万,高楼层(共33层)                                                    | 2013年建 |                                 2室2厅 | 65.9平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_x60MBqEid_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,中交丽景 精装房 带入户花园 独立饭厅 朝中庭,152万,低楼层(共34层)                                                    | 2010年建 |                                 4室2厅 | 113平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_VggmNU1Si_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门   正规一居室   带装修,75万,中楼层(共34层)                                                    | 2013年建 |                                 1室2厅 | 52.13平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_ZC8z0USqA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,晋愉盛世融城 清水大三房带书房 客厅带阳台 户型好,145万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 138.36平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_tfEtpI39f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,保利开发商+正规3室业主诚心出售+业主住家精装修.,135万,中楼层(共32层)                                                    | 2012年建 |                                 4室2厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_s5W981M9S_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,视野无遮挡，采光佳，证在手，无需解押，毛坯出售,166万,高楼层(共32层)                                                    | 2013年建 |                                 4室2厅 | 122.18平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_empjf4C7P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,东海阿特豪斯  精装大两房 业主诚心出售,106万,中楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 81.9平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_WCNAoqHxm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,中交万都汇 3室2厅 东南新上,116万,低楼层(共34层)                                                    | 2013年建 |                                 3室2厅 | 86平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_XQQQ0EwEc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门 住家装修三房 带家具家电住家安静,120万,中楼层(共30层)                                                    | 2011年建 |                                 3室2厅 | 92.68平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/9c6f78f0-d3b3-48f5-adae-68779e4354f3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,广田巴国绿云 4室2厅 南,105万,中楼层(共22层)                                                    | 2008年建 |                                 4室2厅 | 101.47平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/945d6a7f-30f2-4890-a32c-7db10e654978.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门 精装4房 主卧带衣帽间 近永辉近地铁,168万,高楼层(共34层)                                                    | 2010年建 |                                 4室2厅 | 136.8平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/a16b975d-1999-4838-9b5a-6142dfb4404c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,金科物业 精装修2房家电齐全 业主诚心出售 价格稳定,100万,中楼层(共30层)                                                    | 2009年建 |                                 2室2厅 | 77.8平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/33424f80-d348-47d6-88af-8de4d4490a5b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,业主住家精装修，保持九层新   。新上,135万,低楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 97平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/5f330f02-4368-4c8c-8f63-cbe1fd0ce3ff.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门，精装修两房含家具家电，坐北朝南看公园,106万,中楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 81平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/b308433d-0f47-4cef-82c3-3908034fa34b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,中交万都汇  正规两房 居家装修  配套完善 交通便利,105万,中楼层(共32层)                                                    | 2013年建 |                                 2室1厅 | 77平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/52fd6135-b340-405c-b36d-41deed9f38fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,金科物业 精装修 家电齐全 明厨明卫诚心出售,105万,高楼层(共34层)                                                    | 2010年建 |                                 2室2厅 | 74平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/27da44e5-c4bd-4d65-8218-40e283ddd61a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,急售保利品质楼盘 正规两室 交通便利 业主诚心出售,95万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 77平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_U3xxk1Vck_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城全新精装小两房 带全套家具家电,88万,中楼层(共32层)                                                    | 2015年建 |                                 2室2厅 | 62平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_TGvqEjihg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国后门 电梯房 楼层中间位置,81万,高楼层(共18层)                                                    | 1995年建 |                                 3室1厅 | 86.45平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_0KquzUcPk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城品质洋房小区 beautiful的一套房子！先到先得,124万,低楼层(共31层)                                                    | 2013年建 |                                 3室1厅 | 98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ed616b49-7fec-4cea-b139-e789edc162af.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城后门    正两房    可贷款,50万,高楼层(共6层)                                                2室2厅 | 64平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0fa32a40-6511-47a8-8879-2b2eaf079fc7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城诗情广场，精装修两居，拎包入住，坐北朝南,103万,中楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 81.4平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-852da7d6-b752-406a-92b9-c107f6066354.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,巴国城 永辉超市楼上 精装三房 诚心出售！,122万,高楼层(共32层)                                                    | 2013年建 |                                 3室1厅 | 86平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-dbde8aba-9a42-424b-b26b-c8e792f0cdf2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,30万精装修，三房+书房，大阳台视野舒适，位置安静,147万,低楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 124平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_mLxUC2S0i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,巴国城,全屋定制家具，精装六十W，四房双卫，全中庭。,200万,中楼层(共9层)                                                    | 2010年建 |                                 4室2厅 | 128.82平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_AeRndV3td_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
