20191026,大渡口,白市驿,金凤苑清水三房出售 位置安静 适合住家,84万,低楼层(共25层)                                                    | 2015年建 |                                 3室2厅 | 112平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2c2279f4-c9f8-486a-ac83-75a0bc24aaae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑 清水两房 户型房子 采光好 业主急卖·,55万,低楼层(共28层)                                                    | 2016年建 |                                 2室2厅 | 69.15平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_x4o2SGiHr_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水两房  业主诚心卖，可带车位一起出售,68万,高楼层(共32层)                                                    | 2015年建 |                                 2室2厅 | 87.7平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-f1fd4162-f38a-4769-9c20-c855eb30551c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,精装两房，拎包入住，随时可签，诚心出售,72万,中楼层(共32层)                                                    | 2016年建 |                                 2室1厅 | 67平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ac2fe19e-0c18-4a47-8f31-b0d1c988aff9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水两房  可据喜好装修 小区环境好 居住舒适,82万,低楼层(共31层)                                                    | 2015年建 |                                 3室2厅 | 110平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-c44f0e3c-6513-4ce2-b490-6df026a2cc92.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,采光好，通风性强。价格优质。。,63万,高楼层(共32层)                                                    | 2016年建 |                                 2室2厅 | 69.25平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8abc6658-66f5-463c-9a51-f2a7402ec200.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑 3室1厅 南,70万,高楼层(共26层)                                                    | 2016年建 |                                 3室1厅 | 81.6平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a4198caa-4257-4b94-9a1b-2c365cf3fbd9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,清水两房带院馆，带车位，位置安静，采光好，业主诚心,75万,高楼层(共32层)                                                    | 2016年建 |                                 3室2厅 | 81平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-b49b9db4-6d15-4be7-bbb6-5021bbc18b04.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,业主诚心出售，满2年，目前清水空置，此价格带车位,72万,高楼层(共31层)                                                    | 2015年建 |                                 2室2厅 | 89平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-1a3cd66b-f67f-4f37-9304-4d9112198297.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑品优质好房，金科品质物业，诚心出售,71万,低楼层(共31层)                                                    | 2015年建 |                                 2室2厅 | 90平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1ad5dc00-a0d1-4e37-b9fd-d24f0fb95fb0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑优质好房、金科品质物业、小区环境好,93万,低楼层(共31层)                                                    | 2015年建 |                                 4室2厅 | 131平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-95e565d6-691d-4d95-aca7-9b7e55f09c38.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水四房，带车位出售，位置安静 适合住家,95万,高楼层(共31层)                                                    | 2015年建 |                                 4室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-97a3b6e0-8b3d-48fb-aa1b-ef226fa58853.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,清水三房，小区绿化高，位置安静，适合居家。,84万,低楼层(共31层)                                                    | 2015年建 |                                 3室2厅 | 110.88平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-109d5efd-1ca8-4a31-be22-e2a5d121453a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水四房，小区环境好，楼间距大，视野开阔,100万,高楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 131.44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-484b27eb-0de7-4452-95dd-f127123a5fbe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,此房已满两年，出行便利 门口有超市 小区内有幼儿园,99万,中楼层(共31层)                                                    | 2015年建 |                                 4室2厅 | 132平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-15d752c9-be7c-4d40-9741-923636382850.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,满两年，证在手，交易方便；小区管理：金科物业。,75万,中楼层(共26层)                                                    | 2015年建 |                                 2室2厅 | 88.25平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-fe60839e-6641-41cf-b4fe-a378b6bf06b8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,九龙坡金凤苑正规三方价格美丽 带车位,90万,高楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 110平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d81219c3-9fbe-46f0-9eb7-c04b95d96916.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,此房已满两年，出行便利 门口有超市 小区内有幼儿园。,95万,中楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 131.44平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2124eeeb-f634-4c9d-b74d-29243d61be72.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑优质好房、金科品质物业、看房联系维护人,90万,高楼层(共32层)                                                    | 2015年建 |                                 3室2厅 | 110平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-bbe6246b-d747-4b04-aa76-0329ca20bc20.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,：出行便利 门口有超市 小区内有幼儿园,78万,高楼层(共25层)                                                    | 2015年建 |                                 2室1厅 | 90平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-bb591c1d-ba7e-4641-966e-c83713ecbb46.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑优质两房，户型好，小区环境很好,70万,中楼层(共26层)                                                    | 2016年建 |                                 2室2厅 | 81.6平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-df03369b-e794-45ea-8bbe-3721d8feba24.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑大三室带飘窗小区环境好金科物业,95万,低楼层(共32层)                                                    | 2016年建 |                                 3室2厅 | 108平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-e0e06d3c-c836-470b-b84a-22ddbeb59f0a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,此房已满两年，出行便利 门口有超市 小区内有幼儿园,80万,中楼层(共26层)                                                    | 2015年建 |                                 2室2厅 | 89平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c24081a1-526c-49e1-a499-a1100bdd52d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,此房已满两年，出行便利 门口有超市 小区内有幼儿园,80万,中楼层(共32层)                                                    | 2016年建 |                                 3室2厅 | 82平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-51b8f61c-c027-45aa-ba22-3f926fe817a5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,科学城优质正两房，业主诚心出售。,85万,中楼层(共25层)                                                    | 2015年建 |                                 2室2厅 | 89.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2f9b7c3f-66cc-4357-a005-e7d64a152be3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,出行便利 门口有超市 小区内有幼儿园,92万,低楼层(共25层)                                                    | 2015年建 |                                 4室2厅 | 110平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-68f4298b-2d4b-4160-9152-07299be3135b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,满两年，证在手，交易方便；小区管理：金科物业。,85万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 112平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-35d5fa9a-9745-4f7a-a168-1560f2d4d577.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,此房已满两年，出行便利 门口有超市 小区内有幼儿园,80万,高楼层(共31层)                                                    | 2015年建 |                                 2室2厅 | 88.25平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-128e096e-97e9-41f8-81db-e93c26a3bf5a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,改善型住房的选择住址，安静小区绿化面积高,100万,中楼层(共32层)                                                    | 2015年建 |                                 3室2厅 | 110.6平米                                  | 南 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e44dff54-a02d-4d1d-bd30-abbd9fbdc1d4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,正规4房 户型方正 采光好  带车位,96万,中楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 131平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-642c32c9-d6ac-4831-8bb7-c1e832241d66.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑三室一厅一厨两卫户型方正诚心出售,88万,低楼层(共25层)                                                    | 2015年建 |                                 3室1厅 | 111平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f511b229-0547-4c07-8989-89527919af06.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金科品质，清水两房，已满两年全款在手,88万,中楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e23c7f0b-7d98-4b4d-8e82-8f68256cfb89.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水4房2卫，视野好诚心出售,97万,中楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 131.5平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-8230cd34-c6fa-4bda-af87-fd5924046547.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,满两年，证在手，交易方便；小区管理：金科物业。,95万,低楼层(共32层)                                                    | 2015年建 |                                 4室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-495d525e-b43f-4d37-a3f2-e337e6be1c36.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水三房两卫，中间楼层视野好，证在手，带车位,90万,高楼层(共25层)                                                    | 2015年建 |                                 3室2厅 | 111平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-90e90ec6-26b8-41e7-be85-83359ce14740.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑清水三房，户型方正，业主诚心出售。,100万,低楼层(共31层)                                                    | 2015年建 |                                 4室2厅 | 113平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6b9aeff2-2ce5-4e75-9f01-9c16fd0254a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑 3室2厅 东南,90万,低楼层(共31层)                                                    | 2015年建 |                                 3室2厅 | 111平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6034cf4e-8c35-4f17-a685-6af511d712e1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,海兰云天，拾光里洋房，正三房小区环境好,85万,低楼层(共7层)                                                    | 2014年建 |                                 3室2厅 | 103.2平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,价格便宜，有更多的，适合老带小居住，视野好,198万,低楼层(共2层)                                                5室2厅 | 232.81平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,联排别墅、双拼别墅、独栋别墅，占地面积大，楼间距大,300万,低楼层(共2层)                                                3室3厅 | 303平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,一室一厅  小区以别墅为主，环境好,36万,低楼层(共7层)                                                    | 2014年建 |                                 1室2厅 | 58.89平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,上邦国际社区，带家具家电小洋房，诚心出售，天然氧吧,33万,中楼层(共5层)                                                1室0厅 | 39.14平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,海兰云天度假区    拎包入住单配公寓,25万,低楼层(共8层)                                                    | 2014年建 |                                 1室1厅 | 46.97平米                                  | 西,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,海兰度假，别墅环境，看房联系维护人,68万,低楼层(共7层)                                                    | 2014年建 |                                 2室2厅 | 83.7平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,采光好，环境好，很适合居家。风景宜人！,35万,中楼层(共7层)                                                    | 2014年建 |                                 1室1厅 | 56平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,装修休闲房，环境优越，鸟语花香，风景宜人,38万,低楼层(共5层)                                                1室1厅 | 39.14平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,价格便宜，有更多的，适合老带小居住，视野好,285万,中楼层(共5层)                                                4室2厅 | 184.66平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/e2a95561-ccb8-4621-a478-995a7e3e63e6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤苑四房带部分装修+车位+金科物业,98万,低楼层(共31层)                                                    | 2015年建 |                                 4室1厅 | 131平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/6b3f2935-716a-4e63-bd6d-c4d44894097a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,户型端正，采光好，此房业主诚心出售,55万,低楼层(共7层)                                                    | 2014年建 |                                 2室2厅 | 77平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,排别墅，环境优美，诚心出售，价格美丽,220万,低楼层(共2层)                                                3室3厅 | 204平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,美丽海蓝云天，旅游度假村，看房联系维护人,30万,中楼层(共8层)                                                    | 2014年建 |                                 1室1厅 | 48平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,九龙坡金凤苑清水三房，视野开阔，采光充足,85万,高楼层(共26层)                                                    | 2015年建 |                                 3室2厅 | 110.11平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/37f1d103-4689-41fc-8a4d-df5d7787d948.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,上榜高尔夫温泉公馆  上榜高尔夫温泉公馆,38万,低楼层(共5层)                                                1室0厅 | 38平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,海兰云天拾光里 2室2厅 南新上,62万,中楼层(共8层)                                                    | 2014年建 |                                 2室2厅 | 83平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,上邦精装1房，环境优美，重庆超然的度假房和排压房,36万,中楼层(共5层)                                                1室1厅 | 37平米                                  | 西南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,美丽度假旅游村，依山傍水，紧靠别墅，看房联系维护人,45万,中楼层(共7层)                                                    | 2014年建 |                                 1室1厅 | 61.82平米                                  | 东北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,品质小区 小户型 好出租 位置方便！,45万,中楼层(共8层)                                                    | 2014年建 |                                 1室1厅 | 46平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,金科物业品质楼盘，大楼间距，视野开阔,88万,中楼层(共31层)                                                    | 2015年建 |                                 3室2厅 | 110平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/c4275f79-7477-4295-8930-fbc47f2c091d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,采光好，户型端正，此业主诚信出售,80万,中楼层(共7层)                                                    | 2014年建 |                                 2室2厅 | 80平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,金凤苑清水两房带车位便宜出售。,85万,低楼层(共32层)                                                    | 2016年建 |                                 3室2厅 | 108平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/52864fee-d6fd-4fa9-9a5f-8f8f791b3fe0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,金凤正规四房，金科物业，品质的保证,110万,高楼层(共33层)                                                    | 2015年建 |                                 4室1厅 | 133平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-f70a0ae3-8df7-4d16-b3c2-abe2880cf59c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,：正良房采光好，小区以别墅为主，环境好,40万,高楼层(共8层)                                                    | 2014年建 |                                 1室0厅 | 46.97平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,采光好，小区以别墅为主，环境好，很适合居家。,40万,低楼层(共8层)                                                    | 2014年建 |                                 1室1厅 | 58平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,金凤苑 3室2厅 东南,90万,低楼层(共26层)                                                    | 2016年建 |                                 3室2厅 | 112平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,九龙坡 金凤苑  清水2房带车位 诚心出售,85万,中楼层(共26层)                                                    | 2015年建 |                                 2室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/02c8bf6e-3157-434c-bdb1-a385bec0cc81.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,上邦高尔夫温泉公馆 1室1厅 南,37万,中楼层(共5层)                                                1室1厅 | 38平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,环境优越，社区好。休闲社区。有水源娱乐设施,52万,中楼层(共7层)                                                    | 2014年建 |                                 1室1厅 | 63.1平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,金凤苑清水房，业主诚心出售！！,88万,低楼层(共25层)                                                    | 2015年建 |                                 3室2厅 | 112.53平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/e7f37ef3-95da-418c-8e4b-9a90c68f7eb6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,西郊庄园 独栋别墅 清水 小区环境好,320万,低楼层(共3层)                                                5室3厅 | 452.32平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,精致两房，价格经济实惠，业主诚心出售,68万,低楼层(共31层)                                                    | 2015年建 |                                 2室2厅 | 90平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,凤祥居C区 清水两房  业主 诚心出售,43万,高楼层(共27层)                                                2室2厅 | 67.44平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,渝水坊次新小区 全新装修还没有住过人 房东诚心急售,88万,高楼层(共11层)                                                    | 2012年建 |                                 3室1厅 | 97.63平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,金凤镇凤祥居 清水两房·诚心出售,45万,低楼层(共25层)                                                2室2厅 | 68平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,精装户型，可拎包入住，省时省事！,107万,中楼层(共17层)                                                    | 2018年建 |                                 3室2厅 | 109.8平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,耀文枫林郡 3室2厅 东南,70万,高楼层(共18层)                                                    | 2015年建 |                                 3室2厅 | 106.83平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,看房方便，业主安心卖，满两年，总价低,64万,中楼层(共7层)                                                2室2厅 | 84.2平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,和威山千院 3室2厅 南,92万,高楼层(共8层)                                                3室2厅 | 100平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/e04af41f-2d5a-444d-9ec5-aed0296854a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,白市驿,好房源，大平层洋房，精装房，环境好,140万,中楼层(共8层)                                                    | 2017年建 |                                 4室2厅 | 117平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,清水，可自主安排装修，风格自定。环境优美，鸟语花香,350万,低楼层(共2层)                                                5室3厅 | 348.62平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,价格便宜，有更多的，适合老带小居住，视野好 。,210万,低楼层(共2层)                                                4室2厅 | 194平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,上邦高尔夫清水四房大别墅诚心出售,220万,低楼层(共3层)                                                    | 2008年建 |                                 4室3厅 | 271.1平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,上邦高尔夫国际社区C组团 4室3厅 南 北,190万,低楼层(共3层)                                                4室3厅 | 232平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,业主诚心出售，自住精装修房产。,80万,低楼层(共18层)                                                    | 2014年建 |                                 2室2厅 | 79.64平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,白市驿,一样的价格，不一样的享受，政策在变，服务不变,58万,中楼层(共4层)                                                1室1厅 | 48平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
