20191026,大渡口,大渡口区府,此房满2年，业主诚心出售，楼层好采光好，交通方便,81万,高楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 74.01平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0abd9133-2ec1-4856-8c4e-3ac0d79da50e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,住家精装修，双公园，家具家电齐全，实际效果更佳,60万,中楼层(共8层)                                                    | 2000年建 |                                 2室1厅 | 70平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6d57aa9a-e57f-4e4e-b4b4-fe9981c39db2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,97万,中楼层(共8层)                                                    | 2003年建 |                                 2室1厅 | 113平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-28be3c4d-dfd0-4f53-b23e-a1895aba21ce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口 九宫庙 步行街 阳明商都  精装修,96万,低楼层(共22层)                                                    | 2011年建 |                                 3室1厅 | 97平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1d98f420-43d7-4f69-8877-807949b639cb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口商圈 步行街的房子 顺祥壹街区 小户型出售,68万,低楼层(共30层)                                                    | 2011年建 |                                 2室2厅 | 58平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-cc49490b-9cb3-48f5-af08-33027f95954b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,满五年的轻轨房，不临街，出行方便。,105万,中楼层(共5层)                                                    | 2005年建 |                                 3室2厅 | 118平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a626a605-e06d-4e96-bebc-54f9c012da80.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房已经满2年，距离1044米有轻轨2号线平安站,85万,低楼层(共36层)                                                    | 2008年建 |                                 2室2厅 | 64.49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6cbc6660-1101-4a41-80f8-b099c95a4c3e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁 小户型 带装修 带指标 业主诚心出售,40万,高楼层(共34层)                                                    | 2011年建 |                                 1室0厅 | 34.06平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_JArfWKyaO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁边环境好的小区房，业主诚心出售,95万,高楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 76平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_AJTbj9Rps_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,铂金云鼎 正规两房 精装修 带指标 看房方便,70万,低楼层(共26层)                                                    | 2009年建 |                                 2室2厅 | 60平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_v5hEdVlZy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房已经满2年，距离1044米有轻轨2号线平安站,83万,低楼层(共30层)                                                    | 2011年建 |                                 2室1厅 | 65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8f84b801-2708-499f-bd44-3d3889313315.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,顺祥壹街区 正规一室一厅 带指标 带指标 便宜出售,62万,中楼层(共33层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Luk7Yz6dD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,锦天佳园 三房双卫 全朝中庭 住家装修 近轻轨,135万,中楼层(共11层)                                                    | 2003年建 |                                 3室2厅 | 119平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_ZtqHKj3rg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,锦天佳园 三房双卫 带装修 带指标 出脚方便 随时看房,130万,高楼层(共12层)                                                    | 2003年建 |                                 3室2厅 | 117平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_EdVRsSzga_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口建设村锦绣格林住家精装两房，距离平安站744米,100万,低楼层(共32层)                                                    | 2009年建 |                                 2室2厅 | 81平米                                  | 东 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a7f52965-983a-4c67-9e5a-43dab07bd1bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,138.5万,低楼层(共12层)                                                    | 2004年建 |                                 3室2厅 | 142.56平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-637ac6ce-d4d7-4dd6-95cf-faffe727b293.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,铂金云鼎 此房满5年，业主诚心出售，采光好，,72万,高楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 55平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5159a70d-095e-441b-a28e-ca9ddeb8ec28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,近平安轻轨站  采光充足   看房方便,46万,高楼层(共34层)                                                    | 2008年建 |                                 1室1厅 | 35平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_xhgBaupff_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,阳光花园(大渡口) 3室2厅 南,141万,中楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 141平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-90f05814-1b30-4a4f-a4d3-4a293db6b509.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,优质的房子，越开越好，手慢得没有..........,92万,低楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 78平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-2e5e0daa-e389-48bd-8dc0-b4d3e80a46c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,成熟小区 住家安静 户型方正 拎包入住,106万,中楼层(共11层)                                                    | 2005年建 |                                 2室2厅 | 99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8541f0b4-8cc9-4647-82b5-eba53287d815.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,该房正规一房，户型方正，住家精装修，楼层好,62万,高楼层(共26层)                                                    | 2009年建 |                                 1室1厅 | 47平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_icCYneSzS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,正规3室两厅 住家装修 大露台 业主诚心出售,145万,低楼层(共33层)                                                    | 2008年建 |                                 3室2厅 | 107平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_jLSNuMXCQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房已经满5年，唯一住房，可以免增值税，采光充足。,92万,高楼层(共32层)                                                    | 2009年建 |                                 2室2厅 | 75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_10FloWSpT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,业主诚心出售，楼层好，采光好，业主住家装修,73万,低楼层(共17层)                                                    | 2009年建 |                                 2室1厅 | 55平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_kuLoL6m58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,精装轻轨三房，住家安静，诚信出售,159万,高楼层(共30层)                                                    | 2007年建 |                                 3室1厅 | 114平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_y9t7Jvl3q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,顺祥A区 精装两房 带指标。。。,97万,中楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 78平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_WKE7yRLfg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口 顺祥 正规二房  带家具家电,108万,中楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 87.81平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-50439e87-7503-4034-91ce-178105dccf71.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,正规两房 业主诚心 住家装修 出门就是轻轨 交通便利,86万,中楼层(共32层)                                                    | 2009年建 |                                 2室2厅 | 72平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_a2qbU3NMt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,富士达锦绣格林 2室2厅 南,87万,低楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 73.1平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_oSYvBproN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口轻轨站旁，交通方便，居家养生上等。,68万,中楼层(共11层)                                                    | 2005年建 |                                 1室1厅 | 60平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Eo4w50g0K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,九宫庙熵圈 装修9层新正规 带阳台一室 出售,72万,低楼层(共30层)                                                    | 2011年建 |                                 1室2厅 | 49.49平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_So0n3DrwB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,富士达锦绣格林 带装修2房 客厅带阳台 带家具家电,108万,低楼层(共32层)                                                    | 2009年建 |                                 2室2厅 | 81.03平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-400dca4c-3ef4-4690-936b-fd679beb8842.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,住家装修，离轻轨近，离大渡口步行街近。新上,95万,中楼层(共30层)                                                    | 2007年建 |                                 2室2厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ODUMWTQaj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房满5年，业主诚心出售，楼层好，采光好，交通.方便,72.6万,中楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 54.75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e3444ed3-d2a1-4e41-aa58-9fbf14636250.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,98万,低楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 110平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/4047211a-2806-4fdc-8690-17bbf6aecc7d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁 小户型 带装修 带指标 业主诚心出售,40万,高楼层(共34层)                                                    | 2011年建 |                                 1室0厅 | 34.05平米                                  | 东,https://ke-image.ljcdn.com/hdic-frame/4e68e160-80e5-49d2-8e0e-f16aaac910ea.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,枫丹筱筑二期 朝小区中庭 正规两房 户型无浪费,85万,低楼层(共7层)                                                    | 2005年建 |                                 2室2厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/0c2ccf85-daa7-41b9-8e78-f5e64b2a9785.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,顺祥壹街区，精装2房，通风好，采光好,82万,高楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/021e5e49-b1c2-4393-b33a-48b2a32add62.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,简装，正规三房 带指标    采光足。低楼层,78万,低楼层(共8层)                                                    | 2000年建 |                                 3室2厅 | 99.24平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/bc0974ac-1319-4942-a0e7-661e87a3ab4f.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,精装轻轨2房，住家安静，诚信出售,83万,高楼层(共36层)                                                    | 2008年建 |                                 2室2厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/3fd4d203-e13b-419b-843d-02556b822099.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
