20191026,大渡口,建设村,轻轨楼上精装修两房，没有出租历史，看房提前联系,80万,中楼层(共32层)                                                    | 2007年建 |                                 2室1厅 | 74.38平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-a5441fe4-ffad-4440-92e0-35047c8d8d3c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,轻轨2号线 新宝龙易城 简装 视野采光,67万,低楼层(共33层)                                                    | 2007年建 |                                 1室1厅 | 61平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_OXVCtmcKF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,轻轨2号线平安站 美德家园 清水两房 户型方正 采光好,98万,中楼层(共28层)                                                    | 2014年建 |                                 2室2厅 | 75.87平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-74df3ed1-6310-4108-9a09-1a2e6e22c07b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,新宝龙易城 正规两室 精装修 采光好 端头户型,82万,中楼层(共33层)                                                    | 2007年建 |                                 2室1厅 | 67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_3EUIHTEjZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,新宝龙业主额外精装修 视野佳采光好 保养新,96万,高楼层(共33层)                                                    | 2007年建 |                                 2室1厅 | 84.35平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Dyno2cNl4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,新宝龙易城 2室2厅 东,80万,中楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 70平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_X3NataAmS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,平安轻轨站旁正规3房双卫、交通方便、环境优美,135万,低楼层(共30层)                                                    | 2014年建 |                                 3室2厅 | 105平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9b212cff-c8d2-48f5-8c91-d6f4aeb5e4e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,易城 精装修 轻轨房 视野开阔 中间楼层,86万,高楼层(共33层)                                                    | 2007年建 |                                 2室1厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-065204f1-070e-409a-a1a4-2898b0dfca10.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,此房满5年，随时可以签约，户型方正，楼层好，采光好,115万,低楼层(共27层)                                                    | 2004年建 |                                 3室2厅 | 111平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-889f92a4-f40c-40db-acfd-4075311c39a5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,2号线 新宝龙易城 业主诚心出售 精装两房,120万,低楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 87.01平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_phJw3D96K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,建设村,新宝龙易城  业主自己装修 采光好 拎包入住,86万,高楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 71平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_e3e0EUQir_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
