20191026,江北,北滨路,观音桥恒大御龙天峰开发商精装修,155万,高楼层(共54层)                                                    | 2018年建 |                                 2室2厅 | 86.29平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-0edcbfaa-8a14-450d-830e-1ee350a515df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路龙湖春森彼岸 精装带家具家电 住家安静,170万,低楼层(共39层)                                                    | 2008年建 |                                 2室1厅 | 93.73平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_MMg83C0Hy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,看江看解放碑夜景，高楼层视野好3房2卫，龙湖春森彼岸,190万,高楼层(共38层)                                                    | 2008年建 |                                 3室2厅 | 92.06平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_BPgFWrTvh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,客厅为横厅，客厅大阳台，户型方正,205万,高楼层(共32层)                                                    | 2010年建 |                                 3室2厅 | 120.4平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_OO1k5we1b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路御龙天峰清水跃层四房 高楼层 户型方正采光充足,320万,高楼层(共54层)                                                    | 2018年建 |                                 4室2厅 | 193.11平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-37b48a97-f567-460b-a50a-80092e0f53d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,一线江景房 每个卧室都看江  大四房！大阳台！,250万,低楼层(共33层)                                                    | 2018年建 |                                 4室2厅 | 147.46平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-54184c99-8093-4d13-95b7-e098af17baaa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,江北嘴 金融城 标准精装大两房高楼层,150万,高楼层(共32层)                                                    | 2009年建 |                                 2室1厅 | 88.64平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-6a99f0c3-f661-402d-95dc-c5bddb2fdc1b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,卧室看江高楼层 采光视野好 业主自己精装修 拎包入住,285万,高楼层(共49层)                                                    | 2016年建 |                                 3室2厅 | 134平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_RsADsxzcV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路 龙湖春森彼岸后排洋房 清水大四居,285万,中楼层(共9层)                                                    | 2008年建 |                                 4室1厅 | 157.06平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1362da36-ecbe-498c-b365-5933e444d5c3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路 恒大精装3房 朝中庭 住家安静 随时看房,200万,中楼层(共54层)                                                    | 2018年建 |                                 3室2厅 | 112.1平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d135463d-ed85-453b-8f1f-658f10649fa4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,品质社区 住家精装 拎包入住 满二年,253万,低楼层(共46层)                                                    | 2013年建 |                                 4室2厅 | 143.23平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_pgK4DTLX4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,华宇北国风光 大三房 精装修 全看江户型 江景房,150万,高楼层(共33层)                                                    | 2008年建 |                                 3室1厅 | 115平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Xnd9ZZllA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,春森彼岸三期一线江景三房2卫，坐北朝南，总价低,220万,中楼层(共56层)                                                    | 2010年建 |                                 3室1厅 | 104平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-85c4594a-c152-4459-94a0-e1ca8039e937.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,此房是东区精装正规一室一厅  视野开阔！,56万,高楼层(共33层)                                                    | 2013年建 |                                 1室1厅 | 34.39平米                                  | 东南 西,https://ke-image.ljcdn.com/500000-inspection/pc1_DCxdpCZ10_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,带车位 观音桥精装两房 出行方便 双阳台 采光视野好,118万,高楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 88.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_hVd3b2by2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路恒大精装四房 户型方正合理 省心,252万,低楼层(共54层)                                                    | 2018年建 |                                 4室2厅 | 140.34平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-93a449de-ef9c-4578-84da-267828c88e49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路 北岸江山东区 装修小三房 业主急售 带家电家具,135万,中楼层(共33层)                                                    | 2016年建 |                                 2室1厅 | 77平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-871a9651-8ca9-4a3e-b07a-23bd67e87420.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,观音桥北滨路 御龙天峰精装两房密码锁随时可看,175万,低楼层(共37层)                                                    | 2018年建 |                                 2室2厅 | 92.99平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-b24e2157-615c-4225-b4ad-1efcac7f5da5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,观音桥 北滨路  龙湖春森 精装两房  没有入住过,155万,中楼层(共38层)                                                    | 2008年建 |                                 2室1厅 | 75.23平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_LhEHYiLVU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,正看江，视野没有遮挡，户型方正无浪费，带院管装修房,345万,低楼层(共17层)                                                    | 2010年建 |                                 4室2厅 | 200.12平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_YrKd9Flq3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路 龙湖春森彼岸 一线江景三房 户型好 采光好,219万,中楼层(共50层)                                                    | 2018年建 |                                 3室2厅 | 108.93平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-922223ff-4ded-4b94-862b-7eb7d0847407.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路 国兴北岸江山 精装三房 看中庭 采光足,205万,低楼层(共33层)                                                    | 2013年建 |                                 3室1厅 | 133平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_lpIqjr8tF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江北,北滨路,北滨路国兴北岸江山东区精装三居室 朝南一线江景！！,200万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 109.53平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1c576b3f-3db7-480f-9b1b-e69fc0541ebc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
