20191026,江津,滨江中路,时代港湾三房两卫，户型方正，该房可以看江，看游泳池新上,105万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 118.56平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-3e6051f1-ce90-4bdb-830b-d9123e84b65c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯小三房，带装修，家具家电带卖,75万,高楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 86.14平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_etXbH8Fxg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园 步行房 简单装修一室一厅,19万,高楼层(共7层)                                                    | 2007年建 |                                 1室1厅 | 44.1平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-682ef142-7493-4dbe-82a1-8b454dc9364b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装两房，家具家电齐全，,48万,低楼层(共18层)                                                    | 2007年建 |                                 2室1厅 | 76平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-dc341dc0-0a37-4501-893c-027b6f51961b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园三室带屋顶花园（已装修）,58万,高楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 125平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-dbd5b5fd-72aa-43cb-bae1-9c5028567d6e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾精装2房，户型方正，住家装修，带家具家电,58万,低楼层(共33层)                                                    | 2019年建 |                                 2室2厅 | 68平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e52fdee7-2385-4d7f-9ceb-da14955f0e4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯小三房，精装修.........,74.5万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 89.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_9bnWt0aJS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房是住家装修，正看江，户型方正，采光好,83.6万,低楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 150平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5f0548cb-a30c-4ff5-8a00-bb8386c9b7cd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 看江三房 带装修和家电 电梯房中间楼层,75万,中楼层(共32层)                                                    | 2007年建 |                                 3室2厅 | 126.52平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-8a38094e-4f6b-4f8d-9e4c-9f3c0e292cee.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑主卧看江四房~小区出入方便，滨江资源,72万,高楼层(共18层)                                                    | 2007年建 |                                 4室2厅 | 130.34平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-da834cd1-7754-46a7-9672-f7818fd4aa28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园中装三室两厅带装修出售。,46.8万,高楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 96.91平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-03a085e1-cf10-48fd-8429-fe53e78ca5a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾，装修3房，客厅带阳台。业主安心出售,89.5万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 92.55平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/test-f6b7cd63-196a-43dc-899e-ba2f4eea7994.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园 一楼装修三房，带家具家电。,79万,低楼层(共26层)                                                    | 2009年建 |                                 3室2厅 | 92平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-20700d0f-3dca-45a2-960a-c910fff22849.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,可看江 中间楼层 精装 视线开阔,34.5万,中楼层(共33层)                                                    | 2012年建 |                                 1室1厅 | 46.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_phw0WK0Vx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
