20191026,江津,东部新城,房子电梯房高楼层，清水正两室，带院管，满两年。,53.5万,中楼层(共33层)                                                    | 2002年建 |                                 2室2厅 | 85平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ccf315fa-22bc-4c64-93d9-1b5a8bc3c969.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,正规一室一厅，精装，采光好，户型方正，业主安心出售,31.8万,高楼层(共30层)                                                    | 2012年建 |                                 1室1厅 | 43平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-de46ef9a-7fa2-457d-a507-c0519d375027.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东城中央 3室2厅 东南,51万,地下室(共30层)                                                    | 2010年建 |                                 3室2厅 | 127.39平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-4e05a62f-9fce-4c2a-ba55-72d54ec502b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城三世同堂可住得精装大三房,81万,中楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_cn9RXPpys_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,住家一室，家电家具齐全，拎包住,33万,中楼层(共32层)                                                    | 2009年建 |                                 1室1厅 | 41平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_j5XkrZ0Ru_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,华贵沁园春，两室两卫带装修出售。,49.8万,中楼层(共7层)                                                    | 2009年建 |                                 2室2厅 | 82.16平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d45a93c6-7c0d-47ea-a2ab-065b93902b18.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,半岛明珠阔景高层 三房一卫 业主诚心出售 可看江,79.8万,中楼层(共34层)                                                    | 2009年建 |                                 3室2厅 | 97.11平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_pBcYxgsIz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,半岛明珠：清水三室两厅两卫，大阳台，业主诚心出售。,80万,高楼层(共6层)                                                    | 2009年建 |                                 3室2厅 | 135.39平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-157bb3d9-36df-4ee2-857a-96d4868791c3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,正规三室两卫，户型方正，带8平方露台，有钥匙看房,64.8万,中楼层(共5层)                                                    | 2014年建 |                                 3室2厅 | 99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ucwxZFTT3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城精装四室双卫 家电家具齐全,76.8万,地下室(共30层)                                                    | 2010年建 |                                 4室1厅 | 128平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ea427016-e9e3-4cec-b6fc-b1271b3f1c76.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城+全新装修+三室两厅两卫+客厅带阳台+满2年,56万,高楼层(共7层)                                                    | 2012年建 |                                 3室2厅 | 99.2平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ce613790-ed09-4b85-a5e5-86682c8d05a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星韵满庭，精装2房，户型方正，保持干净,57万,低楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 84.98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_heqMA04cv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,滨江路，电梯1房，带装修，有音乐喷泉可看,32万,高楼层(共31层)                                                    | 2010年建 |                                 1室1厅 | 42.16平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4c0c2776-df43-45c7-91a8-f2b574539b47.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,沁园春步行房住家装修三室 有家具家电 前后看中庭,70万,低楼层(共7层)                                                    | 2009年建 |                                 3室2厅 | 104平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-40215603-2ab2-4ce1-ad50-29ec59095ccf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,渝西半岛一号 基装大三室 130平方只要55万！,52万,中楼层(共7层)                                                    | 2004年建 |                                 3室2厅 | 130平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-423046c1-56b8-4567-81be-26aa6096f6b5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城 锦绣花园 精装两房 诚心出售 看房方便,56.8万,中楼层(共30层)                                                    | 2002年建 |                                 2室2厅 | 81.15平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_AUJZgFuIQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东城中央 3室1厅 东,68万,地下室(共30层)                                                    | 2010年建 |                                 3室1厅 | 127.39平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-dc09d91d-f8bc-4d85-9e03-eefe5bfe956b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星河奥韵 带装修三室 有钥匙 带花园,68万,地下室(共7层)                                                    | 2012年建 |                                 3室2厅 | 118.3平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c17f297c-57de-4bfd-936e-49e45ce115e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,琅山东城中.央，2室2厅1卫户型方正。,60.8万,中楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-86fb3921-48b5-458f-8aa6-a4b58dd9bf09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星韵满庭跃层带屋顶花园实用面积150平新上,84万,高楼层(共31层)                                                    | 2009年建 |                                 4室1厅 | 80.44平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/68971b40-af98-45b4-9758-ce0323c8b9a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城鼎山丽景，精装3房，交通方便,46.8万,高楼层(共6层)                                                    | 2013年建 |                                 3室2厅 | 82.17平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-dee08679-e887-4fde-9b87-4062977d717f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,金江港湾精装修看江小三房 装修保持的好,62.8万,中楼层(共25层)                                                    | 2014年建 |                                 3室2厅 | 79平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_zyWpfjwHA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城精装修三室双卫 家电家具齐全,85万,高楼层(共31层)                                                    | 2010年建 |                                 3室2厅 | 123平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5ea8ba08-b4a9-470e-98cb-a20f2f751a02.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星河奥韵+带装修+四居室+装修入住才半年,86.8万,高楼层(共7层)                                                    | 2012年建 |                                 4室2厅 | 143.28平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-afce01a5-6fcb-4732-9198-4d46183a3ec3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,证满两年 看江看中庭 居家安静,72.8万,中楼层(共33层)                                                    | 2013年建 |                                 3室2厅 | 124.55平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5112c314-6986-4d25-ae24-77d6842a0dd5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星韵满庭精装大3房，户型方正，采光好，业主便宜甩。,77.8万,高楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 115平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-3040629c-1191-4cb5-9439-ea9e9c368e4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,江津锦绣花园装修2室带家具家电,52万,低楼层(共32层)                                                    | 2002年建 |                                 2室2厅 | 70平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_lurJKlVfk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,半岛明珠精装修3房带大入户花园，江景房，电梯房,91.8万,中楼层(共34层)                                                    | 2009年建 |                                 3室2厅 | 124.75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_cPUvtNcTc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,精装田园风格正规两房，采光很好,56万,高楼层(共30层)                                                    | 2012年建 |                                 2室1厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ummywDLFU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星河奥韵带装修 步行房 满2年 可看房,59.8万,高楼层(共7层)                                                    | 2012年建 |                                 4室1厅 | 125平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-b7f4fa0e-4a5b-4b7c-8afc-fb32dc9ec8ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,半岛明珠精装修3房带大入户花园，江景房，电梯房,91.8万,中楼层(共34层)                                                    | 2009年建 |                                 3室2厅 | 124.75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_cPUvtNcTc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,精装田园风格正规两房，采光很好,56万,高楼层(共30层)                                                    | 2012年建 |                                 2室1厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ummywDLFU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,星河奥韵带装修 步行房 满2年 可看房,59.8万,高楼层(共7层)                                                    | 2012年建 |                                 4室1厅 | 125平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-b7f4fa0e-4a5b-4b7c-8afc-fb32dc9ec8ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,滨江路上电梯两房，满2年，带装修，带有家电家具。,35.6万,高楼层(共32层)                                                    | 2010年建 |                                 2室1厅 | 51平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_uu9mG9rJa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,东部新城江景房，装修时尚前卫，带家具电器,112万,高楼层(共33层)                                                    | 2010年建 |                                 3室1厅 | 123.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-02694226-f9eb-4e2a-bc5c-a8676c605a61.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,西西里+正三房+可看江+拎包入住,79.8万,中楼层(共33层)                                                    | 2013年建 |                                 3室2厅 | 113.46平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8a598da4-206f-40ae-a921-43879a639c65.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,大面积的清水2房，一楼可做生意。,55万,低楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 87平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-f4af5209-5eef-471d-94c5-2ad86b8de0c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,江畔如歌  新装修三房 可以看江  带家具电器 有钥匙,98.8万,中楼层(共32层)                                                    | 2010年建 |                                 3室1厅 | 122.96平米                                  | 西南 东北,https://ke-image.ljcdn.com/500000-inspection/prod-fd326056-056c-4236-85a2-e3c2b8a0564b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,东部新城,沁园春精装三房一楼出行方便价格便宜,62万,低楼层(共7层)                                                    | 2009年建 |                                 3室2厅 | 105平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5a74f421-2a28-42c1-ac5e-9c2ffe92715c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
