20191026,江津,祥瑞片区,湖上带装修3居，拎包入住，满两年，户型方正,78.6万,低楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_r5wBTV1o5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,出售江津水木年华湖上装修好的两室,52万,高楼层(共7层)                                                    | 2007年建 |                                 2室2厅 | 96.97平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-64e169c5-619e-4527-80eb-9d6c609937f1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,房子户型方正，采光好，装修保持好。,58.8万,中楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 73.84平米                                  | 南 西南,https://ke-image.ljcdn.com/500000-inspection/prod-529619fa-ddfb-4c3a-919e-4178d444bc0d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭电梯花园洋房 .朝中庭,118万,中楼层(共6层)                                                    | 2010年建 |                                 4室2厅 | 116.74平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-b8a986e7-fe20-45bc-afad-aeb844fd689e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿集资楼带装修电梯大两房安心出售,57万,低楼层(共27层)                                                    | 2007年建 |                                 3室1厅 | 100平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_Tp5zC82Dh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上，三室两厅两卫带装修出售,68.8万,中楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 116.2平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-cea0677d-d93e-43d0-86bc-41882a2ba41a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑正宗1室1厅新装修 可看江家电齐全拎包入住,43万,中楼层(共32层)                                                    | 2017年建 |                                 1室1厅 | 52平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-881643d5-3214-4a18-84a9-46bc5f715b2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房为清水3房，可根据自己风格装修,60万,中楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 123.63平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9ee7e15a-bc29-441a-b06e-143496fb35c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上精装修端户带前后花园,105万,地下室(共7层)                                                    | 2007年建 |                                 3室2厅 | 129.77平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-61d77860-4d48-4220-96a4-60618fb7158a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华.青木苑电梯房四房+精装修+看江,99.8万,高楼层(共33层)                                                    | 2005年建 |                                 4室2厅 | 172平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8d3803bb-308f-4020-bb7f-87e8b802a3de.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津区御景华庭，精装三室出售。,86万,高楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 107.92平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-7d562764-51ef-47e6-90fd-a61db68e3b62.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
