20191026,九龙坡,二郎,地铁五号线  彩云湖公园旁 精装单配领包入住,33万,低楼层(共29层)                                                    | 2012年建 |                                 1室0厅 | 26.5平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_wSFUwaBO3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,朵力尚美国际 近轻轨 随时看房 好房急售 精装一房,56万,中楼层(共31层)                                                    | 2010年建 |                                 1室1厅 | 45.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_iuPtHREyF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,二郎正规三房，住家装修，可以拎包入住,94.8万,高楼层(共33层)                                                    | 2008年建 |                                 3室2厅 | 90.18平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_r9L9VHwx4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,户型方正，一改二户型，带装修，可伶包入住。,75万,高楼层(共32层)                                                    | 2010年建 |                                 2室1厅 | 61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/6cad545f-ab3d-4e7e-98a6-9c874bf5fb26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,装修好三房拧包入住 朝南视野好直观彩云湖 居室安静,98万,高楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 80.42平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9f8e58b6-a5da-44f2-8cac-9c7230627be3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,户型好带外阳台 中高楼层 视野无遮挡 割爱出售,53万,高楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 45平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f6bfb8e1-0e3a-4d13-8872-b5b90df2d69f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,达飞玖隆城，精装小两房，满2年，随时看房,65.5万,高楼层(共31层)                                                    | 2008年建 |                                 2室1厅 | 49.08平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-acbc83ba-9f3b-463e-aedf-d6b7e2c8802d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,装修好三房 拧包入住 视野开阔 居家安静 配套齐全,84万,高楼层(共30层)                                                    | 2012年建 |                                 3室1厅 | 63平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-71c1f4da-a9c6-4e5b-a42e-1870797cb7eb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,九龙坡区，隆鑫盛世普天，正规三房，出行方便,130万,高楼层(共20层)                                                    | 2017年建 |                                 3室2厅 | 98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8e447d26-0909-4df8-b653-284f4c499efc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,业主诚心出售,装修保持好,看房方便。,218万,中楼层(共5层)                                                    | 2006年建 |                                 4室2厅 | 164.61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3eba1d59-93f8-496a-92a8-faafb0e3cd9d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,同心家园A组团 正规精装大两房轻轨环线业主诚心出售,92万,低楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 81平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_twFarvKZt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,带入户花园和露台，住家安静，简装,195万,中楼层(共5层)                                                    | 2010年建 |                                 3室1厅 | 136.2平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c565cc45-2a85-4774-948a-13b56121c751.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,玖隆城 正规一房带阳台 有装修 采光好 户型正 安静,56万,中楼层(共31层)                                                    | 2008年建 |                                 1室1厅 | 44平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-756b7dc8-29ba-47b0-a7f9-55931e1957a4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,精装单配，采光十足，直接入住，租金和还高于一房，,32万,中楼层(共29层)                                                    | 2012年建 |                                 1室0厅 | 25平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_umBTwnUYG.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,轻轨旁 正规一房带阳台 朝南看中庭 户型方正带家电,60万,中楼层(共31层)                                                    | 2008年建 |                                 1室2厅 | 51平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-4fbe1bd2-630a-45e8-b324-f57660ecf2c8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,同心家园A组团 3室1厅 东南,92万,高楼层(共33层)                                                    | 2010年建 |                                 3室1厅 | 80.71平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_vYuhcDsFR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,巴国锦苑 住家装修2房 家电齐全 有钥匙随时看房,75万,低楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 66.15平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e5176f9a-f26e-4d8f-9f84-9182e22b9063.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,紧凑端头户型 精装两房带家具家电 临轻轨公园满五年,78万,中楼层(共30层)                                                    | 2012年建 |                                 2室1厅 | 59.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-083576d8-b7d5-4cc0-a350-f67fbea2a2b8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,凤天路轻轨站旁西站边精装大两室视野采光好新上,84万,中楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_5CBMF1gsB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,彩云湖 精装 满两年 居住安静 品质家电 拎包入住,99万,中楼层(共32层)                                                    | 2010年建 |                                 2室2厅 | 90平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_UICbGtWl2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,户型方正带阳台，看中庭采光好住家安静，带家具家电,90万,低楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 74.8平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-40e8930d-f9b8-4b5c-9803-e96ca22c1e4d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,银海方舟两室两厅轻轨房业主急售,85万,高楼层(共18层)                                                    | 2009年建 |                                 2室2厅 | 85平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f928a08b-1fb4-4146-ae17-ed8236f642a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,玖隆城  精装一房  诚心出售,62万,中楼层(共29层)                                                    | 2008年建 |                                 1室1厅 | 52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_AL9HD05Jt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,玖隆城 2室1厅 南,64万,低楼层(共31层)                                                    | 2008年建 |                                 2室1厅 | 49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_D4aex9puU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,巴国城前门两房急售 看房方便 诚心出售,74万,高楼层(共33层)                                                    | 2008年建 |                                 2室1厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/03ff9289-ddde-463b-947e-c86324421b83.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,渝高香洲品质新小区 精装四房双卫 业主急卖！,248万,高楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 156.2平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/ea3a4e48-6830-40a1-a486-8a81b98868d6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,朵力尚美国际两室两厅业主急售价格可谈,80万,低楼层(共11层)                                                    | 2007年建 |                                 2室2厅 | 72.81平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b0501800-4604-47d7-96b2-368a32b7fbd3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,龙湖天街旁边 新出精装两房 次新小区 出门轻轨,88万,低楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 54平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_RVvBxtw04_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,二郎立交旁，紧凑型户型，出行方便，带具家电出售,75万,低楼层(共18层)                                                    | 2012年建 |                                 2室2厅 | 61.52平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-59811762-d621-4085-8fcd-b9500c6c6d99.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,V时代清水两房 诚心出售 小区新 配套完善,98万,中楼层(共33层)                                                2室2厅 | 78平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7b6ec29f-eb89-468d-83c8-62ac185e8eae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,环线 二郎站 正规两室 朝中庭 精装修 朵力尚美国际,108万,中楼层(共30层)                                                    | 2007年建 |                                 2室2厅 | 90平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a9ac34bf-9c31-43ce-9356-ef97f257df67.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,巴国城前门清水两房 户型方正带长阳台 近彩云湖公园,70万,低楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 66平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-bd2c483c-b30a-49d8-bb69-79b2c17ea305.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,跃层两房两厅   户型方正  采光好,80万,低楼层(共28层)                                                2室2厅 | 61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-54b6e739-806b-4827-bdb1-2b7cf66c4b7e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,次新小区 住家精装正规三房 价廉物美,160万,高楼层(共23层)                                                    | 2017年建 |                                 3室2厅 | 106.63平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_A4wRRqB9B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,九龙坡二郎 渝高香洲两房 业主安心出售,118万,中楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 89平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_XEkq4fcDJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,西城尚景 邻近重庆西站 住家装修大两房 不当西晒,68万,高楼层(共28层)                                                2室1厅 | 64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-02eaca6a-a410-4a49-8e53-15cb25a55153.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,巴国城前门 精装小户型 单价1万 配套成熟,37万,中楼层(共33层)                                                    | 2008年建 |                                 1室0厅 | 35.92平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_OwG1bwR8H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,二郎清水一方  户型正 采光好 住家安逸,68万,低楼层(共29层)                                                    | 2016年建 |                                 1室1厅 | 59.36平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ab93d897-2bdf-4d47-b8f5-c4ab312994d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,同心家园 精装小两房 诚心出售 证在手 公交地铁,66万,高楼层(共32层)                                                    | 2010年建 |                                 2室1厅 | 54.98平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_nikhJ2Mvf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,正规2房 业主急售 随时看房 二郎轻轨旁 交通方便,73万,高楼层(共27层)                                                    | 2007年建 |                                 2室2厅 | 66平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_JMyLuaSnX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,二郎,采光通透，交通出行方便，户型端正,63万,低楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-52a0791c-3b0a-44e0-b63a-ba0882ad6c30.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
