20191026,九龙坡,石坪桥,阳光心悦 正规一房 住家装修 拎包入住,51万,高楼层(共26层)                                                    | 2007年建 |                                 1室1厅 | 43.88平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_XQlsmfxGD_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,双轻轨房，面积大，视野好！装修清新宜住家，购物方便,85万,高楼层(共27层)                                                    | 2006年建 |                                 2室2厅 | 75平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_VBza73Jdx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,石坪桥正街  保利央企大盘  住家装修两房  交通便利,106万,高楼层(共33层)                                                    | 2016年建 |                                 2室2厅 | 72平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-22220307-ea59-43dc-991c-d40e324ec8fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,住家装修，正规两房，拎包入住。,98万,低楼层(共34层)                                                    | 2016年建 |                                 2室1厅 | 54平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_Fb2leRSKy.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,石坪桥正街 志龙苑 精装修 邻杨家坪步行街 采光好,48万,高楼层(共34层)                                                    | 2008年建 |                                 1室0厅 | 43平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d77314eb-1201-489b-b67a-54d2998c7448.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,小区大门出去公交车站交通便利正规两房采光通透方正,83万,高楼层(共27层)                                                    | 2008年建 |                                 2室1厅 | 69平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_vLQUXcCIe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,小区绿化成熟 纯天然氧吧小区 户型多元化 物业亲民,108万,高楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 90平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-915ccef4-8160-4e75-ba21-6592abc39ed3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,石坪桥品质地段品质大社区精致一房业主诚意出售,63万,高楼层(共27层)                                                    | 2006年建 |                                 1室1厅 | 50.03平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_caN6AheCW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,户型正采光足,100米盘龙商圈,轻轨站几百米 ,出门车站,95万,中楼层(共40层)                                                3室2厅 | 75.09平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c9d19c3d-943c-4c54-8b3c-dd72dc28553d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,袁家岗奥体旁 隆鑫国际正规一室一厅带阳台诚心出售,70万,低楼层(共30层)                                                    | 2010年建 |                                 1室1厅 | 53.84平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-db32fcca-4686-4548-88cc-e727e77e4c70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,港城静园 2室1厅 南,73万,低楼层(共20层)                                                    | 2003年建 |                                 2室1厅 | 70平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_cMwEIfmAX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,正规大两房 满两年。直接拎包入住,100万,低楼层(共27层)                                                    | 2007年建 |                                 2室1厅 | 87.4平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-86554ef0-e295-4344-a205-8e51d7a60fc8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,华美时代城  大三房  户型方正精装修  业主诚心,128万,低楼层(共33层)                                                    | 2013年建 |                                 3室1厅 | 104.86平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b9030f3a-b687-47e0-90cf-21337e01ca12.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,央企品质楼盘 可拎包入住 交通方便,113万,中楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 74.15平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-0b311c1b-adac-4d38-a362-e8c014a965ef.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,石坪桥,品质小区，居家小两房，户型方正，住家安静,90万,中楼层(共34层)                                                    | 2016年建 |                                 2室2厅 | 56平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-55971684-298a-40f5-951f-c68e70cee2cd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
