20191026,九龙坡,谢家湾,袁家岗轻轨站旁 正规两室 临奥体、龙湖时代天街。,74万,低楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 63平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/bb8c1e61-63eb-4664-8dec-c2b77c7a6378_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,袁家岗轻轨站旁 精装电梯两房 带小花园,68万,低楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 62.35平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/0e6cd095-4f00-4ca3-98b6-9e07f4005b8f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,谢家湾奥园康城C区 正规两房 岁时看房,91万,低楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 78.79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-519228b4-99fe-484b-8fa4-73081d2446bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,老板，两改三的清水户型，巴适的板！你不看会后悔,96万,高楼层(共34层)                                                    | 2015年建 |                                 2室2厅 | 86平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c5e9c96c-2ef5-4629-bf6d-310c031787f2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,谢家湾轻轨房，住家小户型，诚心出售，首付15万左右,46万,高楼层(共34层)                                                    | 2010年建 |                                 1室1厅 | 33平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_8zuYROqhk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,奥园品质大两房，住家保持好，临谢家湾轻轨，博物馆,96万,低楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 79平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_FRAv34oUi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,谢家湾大鼎世纪滨江正规精装三房，拎包就来住,119.8万,高楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 92.32平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/d85c2782-3db7-4af7-b4be-b9d6b73c378b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,此房朝南，户型方正，采光充足。,190万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 108.44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_6WQ9OJgrl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,谢家湾华润二十四城二期装修两房诚心出售,157万,高楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 75.83平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_U07rDABBN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,此房已经满两年了，低楼层，朝小区中庭。,205万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 128.6平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-64e4baa7-4439-4529-b490-79f31c78abfd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,九龙坡区 谢家湾 保利港湾国际 装修2房,116万,高楼层(共40层)                                                    | 2011年建 |                                 2室1厅 | 89平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5feae6fc-04f2-4ddf-9b15-e8e79407ff19.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,朝南的精装两房，满两年，视野开阔，采光充足,152万,高楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 84.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e8c45d4a-c40f-46b9-8e3f-558328242593.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,满两年装修两室 户型方正 采光充足 中高楼层,142万,高楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 81.06平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-93c22102-38ff-4528-bb51-cdcdd336eeac.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,诚心出售华宇精装大两房 带大阳台 朝中庭居家安静新上,105万,低楼层(共32层)                                                    | 2010年建 |                                 2室1厅 | 85.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-43d32fef-b9a7-4bc8-ad65-941376e9fc39.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,保利港湾国际 带储物间，看江，精装修，拎包入住,210万,中楼层(共26层)                                                    | 2011年建 |                                 4室2厅 | 140平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-9f972667-afe8-48ff-ba76-9fb6850015c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,满五唯一央企华润品质正三房 朝向采光没得挑,180万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_OWfnhiC83_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,奥B正规三房 住家装修 户型方正 楼层采光好,121万,低楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 99.28平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_w0LGF1nia_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,全新精装两房 视野开阔 带大阳台,98万,高楼层(共34层)                                                    | 2015年建 |                                 2室2厅 | 85平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_xuZhFITDw_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,此房是满2年 3房带书房，看小区花园，适合宜家居住,250万,地下室(共33层)                                                    | 2011年建 |                                 4室2厅 | 135平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-eb22efc8-a32e-4ce9-9d1c-f3b84bd96a3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,九龙坡,谢家湾,华润小户型  朝南采光好 视野开阔 住家舒适,68万,中楼层(共32层)                                                    | 2011年建 |                                 1室0厅 | 44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a111b6e8-91b8-4e50-b18f-3a169acdd0ba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
