20191026,南岸,弹子石,弹子石，装修两房，户型方正，面积无浪费，小区安静,55万,高楼层(共6层)                                                    | 2009年建 |                                 2室1厅 | 55.59平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-9d3808cf-8de2-44c0-bdfe-1e7133098c7f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,弹子石装住家修单间配套 满两年 换房出售,58万,中楼层(共25层)                                                    | 2015年建 |                                 2室1厅 | 40.9平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-fe5cd0e2-33a0-4f30-87cd-b01f39945a1c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,国际社区 精装两房 保持九成新 拎包入住,112万,高楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 75.68平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-36589118-848a-4ce3-a49b-050af597438f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,弹子石锦江华府精装单配改两房 装修保持好拎包入住,61万,中楼层(共25层)                                                    | 2015年建 |                                 2室1厅 | 38.7平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_0MidMtQSk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,蓝光coco三期，精装修三房一卫，带105平米大露台,145万,低楼层(共28层)                                                    | 2015年建 |                                 3室2厅 | 82.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_XUvH3u69S_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,居家安静，采光好，适合居家 精装修,91万,中楼层(共25层)                                                    | 2008年建 |                                 3室2厅 | 64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_w8tcesSmy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,弹子石 次新楼盘 精装三房 诚心出售,146万,低楼层(共26层)                                                    | 2016年建 |                                 3室2厅 | 94平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-35aa317a-d96c-4e0c-92c8-65e7944394de.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,弹子石 东海长洲 三室两厅 正规户型 诚心出售,98万,地下室(共31层)                                                    | 2008年建 |                                 3室2厅 | 86平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d79f5146-bd17-4c21-9965-1c1c9049163f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,蓝光COCO时代三期 2室1厅 西南,99万,中楼层(共28层)                                                    | 2015年建 |                                 2室1厅 | 52平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_GQfLN5HRm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,弹子石,弹子石贸易区，蓝光帕提欧 次新房 品质小区,150万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 104平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_kJWX9S5Qm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
