20191026,沙坪坝,陈家桥,万达文化旅游城清水2房  业主诚心出售,78万,中楼层(共33层)                                                    | 2018年建 |                                 2室2厅 | 70.23平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-df8f14da-5a36-4092-bb50-0665d350cd35.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,碧水云天 精装大三房双卫 单价8000 业主急售,102万,低楼层(共19层)                                                    | 2012年建 |                                 3室1厅 | 126.41平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-655011d7-7dcd-4647-aab3-3b7447b8dd7a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,采光明亮 位置安静 诚心出售。,68.8万,高楼层(共32层)                                                    | 2012年建 |                                 3室1厅 | 76.69平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_1TH5887CE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,融创清水二改三户型 业主诚心出售,82万,低楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ixP51acp7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,西永融创万达+清水三房两卫+主次卧分开+中庭安静,98万,中楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 90.62平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_vc2QzAMte_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,诚心出售，2梯4户，一期少有的户型,110万,高楼层(共33层)                                                    | 2018年建 |                                 4室2厅 | 106平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9fb2d32e-877b-4374-8d0b-78a8552ea4e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,融城华府 小区中庭位置 朝南的 带花园 地下室,190万,中楼层(共4层)                                                    | 2011年建 |                                 4室2厅 | 146平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f6b11aa0-b86f-43be-b7f7-f9b1b65f96fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,微客公馆，刚需小户型，交通便利，住家装修，急售！,66万,高楼层(共16层)                                                    | 2015年建 |                                 2室1厅 | 55.85平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Rm6Y0cLTr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,大学城陈家桥轻轨旁边，精装四房双卫，房东急卖。,95万,高楼层(共26层)                                                    | 2010年建 |                                 4室2厅 | 129平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_xt6HIJawg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,重庆万达文化旅游城御林 3室2厅 东南,101万,高楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 90平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_D58xngLeV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,文旅城横厅四房双卫 诚心出售  读树人,110万,中楼层(共33层)                                                    | 2018年建 |                                 4室1厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f2afbd3d-e726-401d-9510-317942e325bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,国盛园墅，近万达茂，小区环境好。,115万,中楼层(共11层)                                                    | 2017年建 |                                 3室2厅 | 86.15平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-1fe41eb0-37e0-41a0-ba38-ff62b5b008fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,重庆万达文化旅游城御林 3室2厅 东,106万,低楼层(共33层)                                                    | 2018年建 |                                 3室2厅 | 101.7平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_sFNQ2G1OS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,精装两房，业主诚心出售，可预约看房,69.8万,高楼层(共26层)                                                    | 2010年建 |                                 2室1厅 | 77.11平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_mzNTYZ4BW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,房子采光好，视野开阔，地理位置优越，房龄小易脱手,73万,低楼层(共30层)                                                    | 2012年建 |                                 3室2厅 | 104平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_aYQp0SgLs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,西泽雅苑装修2房，满5唯一。配套齐全,63万,低楼层(共18层)                                                    | 2004年建 |                                 2室1厅 | 70平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-b7514b0e-f27d-4788-ada5-9bb7b3c3f5ad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,碧水云天   简装标准两室  拎包入住,72万,低楼层(共19层)                                                    | 2012年建 |                                 2室2厅 | 71平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_zqy2TGVWm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,楼层好，视野开阔，采光好，交通便利，楼盘标准.,90万,高楼层(共33层)                                                    | 2018年建 |                                 3室1厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_EqIZHNk8k_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,单间配套一楼带大花园，满两年，业主诚心出售。,55万,低楼层(共12层)                                                    | 2013年建 |                                 1室0厅 | 35.84平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0dc95193-8a3e-4c4b-a9a2-05f2b739f7d2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,陈家桥,融创万达二期，品质楼盘，朝中庭清水二房，业主诚心,70万,低楼层(共30层)                                                    | 2019年建 |                                 2室2厅 | 69.11平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_sXAxku8k6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
