20191026,沙坪坝,磁器口,国富沙磁巷正规三房 看磁器口 视野好,110万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-923aab79-39ab-42e9-b765-775812a44ad8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口国富沙磁巷 清水两房 近轻轨 业主诚心出售,85万,中楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 54平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_i5GfibAVY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙坪坝磁器口沙磁巷 看江  看磁器口  业主安心出售,138万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 77.68平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/test-bb8d41a7-917f-4553-be48-60bfb35a99a0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,瓷器口旁 正看江 四房两卫 居家安静 出行便利,189万,低楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 118.39平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_ZCqk1yyyW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,高楼层 视野好 采光充足 带装修 可拎包入住,150万,高楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80.6平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_01bZBszq2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口次新小区 近轻轨 刚需两房 俯瞰磁器口景区,90万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_jN7AO8GMJ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷小两房 住家精装修 视野开阔 户型方正 业主诚售,100万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 57平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-07254229-134c-426f-a41c-fab35612ce12.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷精装三房，户型方正，视野开阔,130万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d6d45d85-da03-4ef0-83ed-c95833483485.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 清水三房看中庭,116万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 83.59平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-798b0cca-8f79-4a74-be56-80a69ce1f745.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁 国富沙磁巷 全新智能家居 三居室,130万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6be7f68e-48fc-4438-882a-4524c2191401.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路 国富沙磁巷 小三房 户型方正 朝向安静,110万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 79.14平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-9b159986-ee48-4ac4-b778-9f5f9a9a023e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷正规清水一房，视野开阔，楼层适中,85万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 56.78平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2423b435-0dcc-46d4-9427-1b14a0f8b04e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷看江小三房，视野开阔，户型方正,117万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.97平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_06kfOolqh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口沙磁巷 精装三房 拎包入住 业主诚意出售,145万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 97平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d1637a3f-2d9a-4a94-8cae-dcb8d5dfd180.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁 国富沙磁巷 精装修两房 带院管 朝向安静,130万,低楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 82平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-67cface6-0211-40fd-a227-f96b5068d65f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁 采光充足 居家安静 出行方便 清水房可随意,155万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.65平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f08a8d63-a74b-4016-9e41-f0a64166a66d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,金悦城二期正规三房厅 户型方正欲购从速精装修,148万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_y18v3ffFz.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁 看江户型，住家安静，交通便利。,260万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 96.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Q2RoZTxbz.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,正规大三房  户型方正 无遮挡采光视野好,138万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-9f4b39bd-bf66-4cf2-a171-c21f84a7b8f8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 北,120万,低楼层(共29层)                                                    | 2017年建 |                                 3室2厅 | 78.87平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_TCoDKvH8E.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷住家装修小三房，户型方正是，朝向安静,118万,低楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 77平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-3d729f51-79d5-401c-8d68-b07243cb771b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,精装修一线江景，住家舒适，视野开阔。,148万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6e4925ed-3f66-44a1-a3ba-3d763f07af2b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 清水小三房 景区里,120万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ea8be0f3-89d0-49f2-b354-dff9a65f80f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
