20191026,沙坪坝,劳动路,百年世家 2室2厅 东南,75万,低楼层(共14层)                                                    | 2005年建 |                                 2室2厅 | 66平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Wn3DokXXt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 精装小两房 采光充足 视野开阔  带小区环境,78万,中楼层(共31层)                                                    | 2005年建 |                                 2室2厅 | 63.09平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5b6cf1d7-88cd-42e7-a9a4-02991a5fa0e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路 百年世家 带装修  一室一厅 朝中庭 安静,65万,中楼层(共30层)                                                    | 2005年建 |                                 1室1厅 | 57.71平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-71e53013-9e2d-4929-9cd9-53c014ecdd83.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家装修两房户型方正采光好配套齐出行购物方便,80万,低楼层(共14层)                                                    | 2005年建 |                                 2室1厅 | 74平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b140d81a-ba73-43fe-807c-b9cd0e91292f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 正规四房带双阳台入户花园 屋顶花园出售,172万,高楼层(共27层)                                                    | 2005年建 |                                 4室2厅 | 140.24平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-22752658-d705-40f7-8da9-a5f04ad87744.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家   两房     带双阳台 户型方正 出行购物方便,79万,中楼层(共31层)                                                    | 2005年建 |                                 2室1厅 | 63平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-bef3fe16-87e7-4de4-8a1e-7a28e4d7ebb6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家  正规三房 有装修 有采光,145万,高楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 122.18平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f9f77617-69f9-41a2-ba07-3f0afe0d070a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,装修小两房 视野开阔 拎包入住,85万,低楼层(共30层)                                                    | 2005年建 |                                 2室1厅 | 63平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7852b525-cef6-4b1c-bb00-e90993720f53.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 3室2厅 东南,152万,中楼层(共22层)                                                    | 2005年建 |                                 3室2厅 | 132.9平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_NaYMBhget.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝 劳动路 百年世家 大四房 安静,190万,低楼层(共12层)                                                    | 2005年建 |                                 4室2厅 | 164平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-3f2d6fa5-82e2-45f9-8b79-257d6c53342f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,中间楼层，中装小两房，随时可看房，空户,59万,高楼层(共18层)                                                    | 2000年建 |                                 2室1厅 | 46平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-14f0174a-8654-4ca1-a639-7827b5f6a883.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝 百年世家正规三房 看嘉陵江 无遮挡,168万,高楼层(共30层)                                                    | 2005年建 |                                 3室2厅 | 143平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_pat1tYp3e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路公交车站旁 大社区 房子装修好,110万,高楼层(共18层)                                                    | 2005年建 |                                 2室2厅 | 90.74平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a8d6e56b-c575-4ce5-b228-5e53549cf427.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口、三陵大厦一房变两房，带装修家电，交通便利新上,50万,高楼层(共30层)                                                    | 2009年建 |                                 2室1厅 | 48平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_P01qkidCf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口 三陵大厦 大两房 有装修 采光好,105万,中楼层(共30层)                                                    | 2009年建 |                                 2室2厅 | 96平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9f20e785-ab18-41c0-a4fc-529373ea61c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口三陵大厦大四房住家装修业主诚心出售欲购从速,118万,中楼层(共10层)                                                    | 2009年建 |                                 4室2厅 | 133平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/3c606758-25fc-4dd4-934b-dddb524b5d3a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝劳动路 百年世家 正规三室一厅 有小区环境,120万,高楼层(共21层)                                                    | 2005年建 |                                 3室1厅 | 93.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7de37b32-a301-4b72-82df-f446b1f7bd2f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,正规两房，户型方正。视野开阔，采光充足，带指标,96万,中楼层(共18层)                                                    | 2000年建 |                                 2室2厅 | 82.9平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_cbxPoCUhR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝 劳动路 三陵大厦 正规两房 户型方正 采光充足,80万,高楼层(共10层)                                                    | 2009年建 |                                 2室2厅 | 75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f32a3054-f939-41df-9713-d4b3469ed871.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,三陵大厦 正规三房 生活交通便利,102万,中楼层(共30层)                                                    | 2009年建 |                                 3室1厅 | 97平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-5c8f0202-c7d6-42e6-bd05-4aec1f0fe850.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 3室2厅 东,158万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 134.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-920f0a81-c7f9-4303-bb29-43b4ead116e0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路公交车站旁 精装一室一厅,58万,中楼层(共18层)                                                    | 2000年建 |                                 2室1厅 | 47平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-29b411b0-b1f9-478c-8243-a5d15cf5c75e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,楼层高  采光好  视野开阔   很安静,72万,高楼层(共6层)                                                2室1厅 | 68.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_2cRAzblGH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝百年世家精装两房  朝南 带屋顶花园 证在手,105万,高楼层(共19层)                                                    | 2005年建 |                                 2室1厅 | 80.38平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_n1xdkkiEZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路住家两房证在手交通便利业主诚售,89万,低楼层(共30层)                                                    | 2009年建 |                                 2室1厅 | 84.76平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-34f57c12-dbe9-42b7-823c-e6357c35f03a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,沙坪坝劳动路 正规一室 拎包入住 交通便利,62万,高楼层(共18层)                                                    | 2000年建 |                                 1室1厅 | 47平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-eda15d47-6e8e-4165-b028-f4b8c13b90c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,房子是单间配套，交通生活配套设施完善，业主诚心出售,45万,低楼层(共18层)                                                    | 2000年建 |                                 1室0厅 | 36平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_v6Lz3sPPX.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 两房 带双阳台 户型方正 出行购物方便,87万,中楼层(共31层)                                                    | 2005年建 |                                 2室2厅 | 63平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_X44ZQyX4u.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,楼层好，装修，证在手，产权清晰，方便交易,72万,中楼层(共30层)                                                    | 2009年建 |                                 1室0厅 | 54平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_tMcUrKEZ8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家住家两房 视野好，安静,85万,中楼层(共12层)                                                    | 2005年建 |                                 2室1厅 | 65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_wHhpmBoEY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口旁三陵大厦电梯大三房带装修交通便利新上,130万,低楼层(共30层)                                                    | 2009年建 |                                 3室2厅 | 134平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_uBafaGjZV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口百年世家 精装修两房 还未入住过新上,95万,低楼层(共12层)                                                    | 2005年建 |                                 2室2厅 | 77.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_R7dFzb4OO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 四室两厅两卫 简单装修出售,150万,低楼层(共27层)                                                    | 2005年建 |                                 4室2厅 | 140.24平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/9e70ed4b-cb2c-4156-bd2c-0dac51306922.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,宏浩大厦 两房精装 朝向安静 交通便利,63万,低楼层(共18层)                                                    | 2000年建 |                                 2室1厅 | 55.2平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/c377fe40-c365-4fc7-8b83-19b4f3027060.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,磁器口三陵大厦大三房两厅住家装修业主诚心出售,105万,高楼层(共10层)                                                    | 2009年建 |                                 3室2厅 | 127.23平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/e33accec-5780-4df4-bbaf-f8765bb7332c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,自住保养好，正规二房带入户花园，视野好！！,115万,高楼层(共30层)                                                    | 2005年建 |                                 2室1厅 | 84平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/66accfc1-8562-448d-a995-da5c1858fdc5.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家正规四房 户型方正 采光充足,178万,中楼层(共27层)                                                    | 2005年建 |                                 4室2厅 | 143平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/849faed7-b0d5-4433-920f-5ffdace34b02.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,三陵大厦 三房两卫 交通便利 采光充足,130万,中楼层(共30层)                                                    | 2009年建 |                                 3室1厅 | 133.94平米                                  | 西南 西北,https://ke-image.ljcdn.com/500000-inspection/4a97d860-8444-4434-8013-99137242087f.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,三陵大厦，正规两室两厅，住家装修,110万,高楼层(共30层)                                                    | 2009年建 |                                 2室2厅 | 97平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/b9d84464-fded-4dda-858d-a45ebc4b5f91.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路 百年世家 有装修三房 朝中庭 安静 双阳台,140万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 105.11平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/b65abc84-7765-4376-889c-2fee854fa950.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,劳动路 中装三房 带书房 视线好 安静不吵,128万,低楼层(共10层)                                                    | 2009年建 |                                 4室2厅 | 131平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/d6abcad5-5993-44fa-b2c4-d8e1644e610b.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,宏浩大厦 2室1厅 东新上,68万,低楼层(共18层)                                                2室1厅 | 61平米                                  | 东,https://ke-image.ljcdn.com/hdic-frame/a795919f-998d-41df-b747-ca9f3a18760f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,三陵大厦   房东诚心出售  单价低 面积,130万,中楼层(共10层)                                                    | 2009年建 |                                 4室2厅 | 132平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/02de75a2-693b-4c7f-b669-42cd7102df90.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,百年世家 2室1厅 南新上,95万,高楼层(共14层)                                                    | 2005年建 |                                 2室1厅 | 74平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/2e3d17eb-732c-4c8a-be76-a99b86bce3ed0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,劳动路,位置好 户型方正 采光充足 出行方便,150万,中楼层(共22层)                                                    | 2005年建 |                                 3室2厅 | 130平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,百年世家 1室1厅 东南,70万,低楼层(共14层)                                                    | 2005年建 |                                 1室1厅 | 52.06平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,磁器口旁阳光驿站电梯一房改两房带装修交通便利新上,58万,低楼层(共18层)                                                    | 2000年建 |                                 2室1厅 | 46平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,劳动路 百年世家 中等装修 大三房 小区环境好,155万,低楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 127.63平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,磁器口旁阳光驿站电梯两房带装修交通便利新上,105万,高楼层(共18层)                                                    | 2000年建 |                                 2室2厅 | 77平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,临三峡广场 正规两房 业主急售.,95万,中楼层(共18层)                                                    | 2000年建 |                                 2室1厅 | 78平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,磁器口旁三陵大厦电梯大三房住家装修诚心出售新上,128万,中楼层(共30层)                                                    | 2009年建 |                                 3室2厅 | 134平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,百年世家 3室2厅 南新上,130万,高楼层(共30层)                                                    | 2005年建 |                                 3室2厅 | 124平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,大两房，装修保持干净，采光好。,126万,低楼层(共30层)                                                    | 2009年建 |                                 2室2厅 | 98平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,宏浩大厦 正规三房 视野开阔 采光充足,108万,中楼层(共18层)                                                    | 2000年建 |                                 3室2厅 | 94.24平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,宏浩大厦大户型 一般装修 出行方便,150万,中楼层(共18层)                                                    | 2000年建 |                                 3室1厅 | 144.44平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,凤凰村 1室1厅 东南,52万,高楼层(共6层)                                                1室1厅 | 50平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,劳动路 宏浩大厦 正规一室一厅 简装 采光通风好,62万,高楼层(共18层)                                                    | 2000年建 |                                 1室1厅 | 47平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,劳动路,三峡广场磁器口、劳动路阳光驿站正规两房、户型方正新上,90万,中楼层(共18层)                                                    | 2000年建 |                                 2室2厅 | 77平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
