20191026,沙坪坝,沙滨路,金沙港湾B区三房，住家装修，保养好。,123万,中楼层(共32层)                                                    | 2003年建 |                                 3室2厅 | 100平米                                  | 西 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_BfUU21EZf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,秋水长天正规一室一厅，业主诚心出售,65万,低楼层(共16层)                                                    | 2008年建 |                                 1室1厅 | 46.75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_aShLOUrBR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙时代南苑清水房，户型方正，采光好，朝中庭,108万,低楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 70.05平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-653c6499-c3c0-4629-add0-7535db22cef3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,沙滨国际  两房带院管  朝重大  住家安静,100万,高楼层(共21层)                                                    | 2017年建 |                                 2室2厅 | 71.64平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-c308e856-afca-4199-a717-0d83541a0562.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,秋水长天高楼层，视野开阔，采光充足，带院馆户型！,105万,高楼层(共45层)                                                    | 2008年建 |                                 2室2厅 | 74平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_XvuHKYMIu.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,磁器口轻轨站 重大环线 户型方正，采光好,130万,高楼层(共20层)                                                    | 2017年建 |                                 3室2厅 | 95.29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a9472389-50de-48f5-82be-c70ab1260956.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙别馆住家两房，户型方正，采光好，诚心出售,100万,中楼层(共17层)                                                    | 2008年建 |                                 2室2厅 | 80平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_VrPdLidee_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,美丽山水 精装两房 证在手 交易方便,125万,中楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 86.55平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-83e1b60a-a327-4e94-aa08-6f085f7e0ad3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,急卖急卖急卖视野开阔业主诚心卖精装三室买房找黄凯,175万,高楼层(共48层)                                                    | 2003年建 |                                 4室2厅 | 165.27平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_XXzTi6rCs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,美丽山水精装3房，户型方正，采光好，可看江,198万,低楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 126平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/standard_a67cc00d-d694-4e14-85b2-58c4b543c5a9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,总价低 沙滨路 兴亚沙滨国际  毛坯 单间配套 安静,48.5万,低楼层(共21层)                                                    | 2017年建 |                                 1室0厅 | 38.75平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-31d85d25-8841-40d3-b03f-8dfbb4b1b1bd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙时代厅带阳台精装，采光好，朝中庭，视野开阔新上,125万,低楼层(共33层)                                                    | 2012年建 |                                 3室1厅 | 77.4平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-8ded3f10-a199-4e06-8253-400be80f8fc1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,时代带院馆精装，采光好，朝中庭，视野开阔，居家安静,106万,高楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_nCBGXyF8x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,三室两厅两卫，正看江，采光充足，楼层中高层。,168万,高楼层(共33层)                                                    | 2008年建 |                                 3室2厅 | 134平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/501bf240-09c9-461c-b831-7c0cc9bafb27.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙港湾两室 采光视野好 楼层适中 拎包入住,116万,低楼层(共34层)                                                    | 2003年建 |                                 2室2厅 | 99.41平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-bace9736-0180-45d7-a3bb-775198bdd175.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙时代精装，采光好，朝中庭，视野开阔，居家安静,115万,高楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 72平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_duWYNa2Bk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,华宇金沙东岸装修2房 朝中庭，看房方便，拎包入住。,83万,中楼层(共15层)                                                    | 2015年建 |                                 2室1厅 | 56.81平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_vxrt942TJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,急售急售急售同户型装修很好朝北看江买房找黄凯,107万,中楼层(共31层)                                                    | 2003年建 |                                 2室2厅 | 86.64平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e15b5805-0700-48c8-9168-6e42182e46a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,沙坪坝沙滨路金沙港湾两房业主诚心出售,110万,高楼层(共33层)                                                    | 2003年建 |                                 2室2厅 | 94平米                                  | 东北 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_KtJjpMiLt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙时代南苑两房精装带院馆，安静宜居适合住家,88万,低楼层(共33层)                                                    | 2012年建 |                                 2室1厅 | 60.6平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_2GoebCW1d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,16年次新房，证在手，一人在证，交易方便，朝向安静,98万,低楼层(共21层)                                                    | 2017年建 |                                 2室2厅 | 77平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-e0c9c467-5ee2-4cdc-9fcb-43516dd398a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,沙滨路 宝嘉江枫美岸 精装修小两房 朝重大 安静,75万,高楼层(共33层)                                                    | 2007年建 |                                 2室1厅 | 51.43平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-3efd80cb-7565-45de-9b94-3873bdd5cbff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,金沙别馆，看房提前约，业主诚心出售。,103万,低楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-93b2bffd-b2e5-41df-a0d3-9e2b131734b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,装修满五年业主诚心卖朝江视野舒服买房找黄凯,120万,高楼层(共25层)                                                    | 2003年建 |                                 3室2厅 | 95.88平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-d43e7164-880d-470f-a7c1-9f2c69406113.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,沙坪坝沙滨路华宇金沙港湾大两房清水业主诚心出售,125万,低楼层(共33层)                                                    | 2003年建 |                                 2室2厅 | 119.86平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/prod-847e37a2-6eb8-48aa-a72c-7325b6a03ba2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,华宇秋水长天，精装修两房，朝中庭,115万,高楼层(共33层)                                                    | 2008年建 |                                 2室2厅 | 81.5平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f4ee41cf-cd28-46ff-a0f4-3b2741bc12f8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,三室两厅两卫   户型方正  装修保持不错  拎包入住,158万,高楼层(共31层)                                                    | 2007年建 |                                 3室2厅 | 103.7平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-10d97eb1-a880-4e9e-8567-38bc56e87db7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,沙滨路,美丽山水精装两房 朝向好 户型方正 满两年 无增值税,138万,低楼层(共29层)                                                    | 2008年建 |                                 2室2厅 | 106平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/test-aaf9a40b-5f07-48be-9723-684312e734d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
