20191026,沙坪坝,杨公桥,沙坪坝杨公桥 星云汇精装两房 业主诚心卖,65万,高楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 68平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-cb70f99c-2dc9-45dd-b19c-017c70f5a0ed.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,此房户型方正，采光充足，轻轨楼盘 ，出行便捷,107万,高楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 86.35平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_OZLQvyItA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,和旭QQ时代 2室1厅 南,45万,中楼层(共21层)                                                    | 2008年建 |                                 2室1厅 | 27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_TCUPAmuUc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,轻轨房 华宇西城丽景 精装两房 拎包入住,110万,高楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 88平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_ayAUsUl3e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,光华阳光水城正规三房+住家精装修+私密性强,140万,低楼层(共34层)                                                    | 2007年建 |                                 3室2厅 | 120.26平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_rTHPSJgzv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,林泉雅舍正规两房双卫户型，业主住家装修，中间楼层,102万,中楼层(共32层)                                                    | 2006年建 |                                 2室2厅 | 82.85平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/prod-9d3af55c-9f0a-4718-bee1-39e3727dced0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,杨公桥华宇林泉雅舍 业主住家装修2房,100万,低楼层(共32层)                                                    | 2006年建 |                                 2室2厅 | 82.85平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_s7xYyxKAZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,轻轨房  ，精装小两房，拎包入住,88万,高楼层(共32层)                                                    | 2010年建 |                                 2室1厅 | 62.89平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_PLySLKuPv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,品质住宅 轻轨楼盘 正规两房 价格110万,108万,中楼层(共28层)                                                    | 2008年建 |                                 2室1厅 | 83平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_iiDgWMgaK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,轻轨房 华宇星领地 正规精装三房 拎包入住,125万,低楼层(共31层)                                                    | 2015年建 |                                 3室2厅 | 89平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Ln8V5TaQy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,杨公桥 近轻轨 正规室 住家装修 交通便利 适宜居家,96万,低楼层(共29层)                                                    | 2006年建 |                                 2室1厅 | 76平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-09ab9ce3-ba00-4f3c-a7bc-733ee3cd3ba4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,沙坪坝区 杨公桥轻轨1号线 龙凤云洲 住家装修,110万,低楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 84.78平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-8568e486-e160-427e-b7ed-fb220348e5a3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,品质住宅 清水大平层 看小区中庭 居家不二选择,152万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 130平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_g8PiFc0Vv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,阳光水城一期，精装正规两房 业主诚心出售,97万,低楼层(共11层)                                                    | 2005年建 |                                 2室2厅 | 74.21平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_WClF5KxZH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,华宇林泉雅舍小三房朝向安静，业主住家看房方便。,110万,低楼层(共33层)                                                    | 2007年建 |                                 3室1厅 | 88.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e79b14f-6849-4d5d-b8e2-45e7a7db9a56.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,沙坪坝 杨公桥轻轨站 龙凤云洲 两房  诚心出售,108万,中楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 82.03平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-5217c566-7fb8-4cb9-b9ac-44ca0b3345fb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,华宇西城丽景 精装小三房 拎包入住,115万,高楼层(共29层)                                                    | 2008年建 |                                 3室2厅 | 72.53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b8d74fd3-2e78-44ce-8b19-236ff6abebe8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,光华阳光水城正规三房+大阳台+环境舒适,130万,中楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 103.5平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_UmBY87ajM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,杨公桥 林泉雅舍 三室两厅 交通便利 居家舒适,145万,高楼层(共29层)                                                    | 2006年建 |                                 3室2厅 | 135.24平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-1403fc92-15c3-4f52-976c-c63a8325e966.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,中间楼层，户型方正，看房方便，视野开阔,75万,低楼层(共30层)                                                    | 2017年建 |                                 3室1厅 | 84平米                                  | 南 东南,https://ke-image.ljcdn.com/500000-inspection/prod-bf5784fd-55ac-4129-8311-586e15aadf41.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,品质住宅 轻轨楼盘 华宇西城丽景  精装一房,63万,高楼层(共29层)                                                    | 2008年建 |                                 1室1厅 | 42.11平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-64d7e7b5-1fb3-4252-98c7-daadd12e4191.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,杨公桥,华宇西城丽景一室一厅 住家装修 出行方便,60万,低楼层(共18层)                                                    | 2008年建 |                                 1室1厅 | 46平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/test-ffa921e9-7956-425c-bc7d-29d37307f51f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
