20191026,沙坪坝,站西路,沙坪坝杨公桥金阳牛津街住家装修两房诚意出售,86万,高楼层(共31层)                                                    | 2010年建 |                                 2室1厅 | 73.6平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_QyJlVjgMi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉城 正规三房 住家装修 户型方正 视野开阔,132万,中楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 99.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_avpcg1uUQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇A区 清水两房 朝向安静 采光好 随时可看,102万,高楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 81.76平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-d67a6a81-0b0b-4149-9f27-3d73a800c51d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,三峡广场  沙铁大厦  正规三房,158万,低楼层(共32层)                                                    | 2006年建 |                                 3室2厅 | 137平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6bd49a67-0702-4dce-b64f-f43dbffac299.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇温泉城A区带装修两房贷家具家电一起出售,107万,低楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 83.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_DTeB89mjc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇 正规两房 适中楼层精装欢迎入住,120万,高楼层(共31层)                                                    | 2011年建 |                                 2室2厅 | 83.59平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-d550ff38-a996-4faa-af81-00795d086cb7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,金阳牛津街 经典单配户型 采光好 业主住家精装修,58万,高楼层(共31层)                                                    | 2010年建 |                                 2室1厅 | 45平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-0a0b55fc-2360-4295-bbb1-b836bfd4d96d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,金阳牛津街 跃层精装五房 朝向安静视野开阔 全新家具,250万,高楼层(共31层)                                                    | 2010年建 |                                 5室2厅 | 156.29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6d95e6b7-c6fa-4678-8e9a-b55b50b8956e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉小两房拎包入住采光充足,85万,低楼层(共32层)                                                    | 2011年建 |                                 2室2厅 | 66平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_OXODCPGcu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉城正规三房，住家装修，业主诚心出售,132万,低楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 96平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_GrvEVoDIe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉城 住家装修两居室带书房 业主诚心出售,96万,中楼层(共32层)                                                    | 2011年建 |                                 3室1厅 | 65平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/test-aa93f9bb-52bc-49e8-b4af-467bbfdbb0a1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融化A区，跃层精装修三房，住家精装修，视野采光好,150万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 105平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2ccc84c6-045e-4390-8628-8137b1c4a205.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,户型朝向好，小区安静，宜居家，出行方便，距离商圈近,110万,中楼层(共31层)                                                    | 2010年建 |                                 3室2厅 | 100平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-0ea64ba3-05e8-4117-aeb9-18c6b6c86a7a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇A区精装两房，可以直接拎包入住,120万,高楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 84.36平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-4cba2aeb-9d9b-4bf7-a431-c072f6383aab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,单价低，户型方正，拎包入住，采光好,130万,中楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_ohZ6VlSlP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉城 三房 住家装修保持良好安心卖,105万,高楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 73.15平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b0cd0178-ead1-4681-90db-6752acf62c7d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇A 区小两房，住家装修，拎包入住,82万,低楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 60.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5e4168d9-c894-4a00-9aba-20eb5ba143cd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,站西路,融汇国际温泉城A区，平层三房双卫，朝向安静，宜居家,135万,高楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 95.65平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-0806e577-af49-4b9a-8a7b-1c47f964a72b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
