20191026,渝北,北环,可住家可办公 轻轨+公园+龙湖品质 70年产权,61万,中楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e5a56e1-a15d-4666-8800-48677a509bbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质三房，视野开阔采光好。,180万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_Gmqz9eLjV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城禧苑 3室1厅 西南,180万,中楼层(共31层)                                                    | 2006年建 |                                 3室1厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_rboEc799g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖moco 住家装修  上跃，三轻轨，爱融汇城 体育公园,102万,高楼层(共37层)                                                    | 2008年建 |                                 2室1厅 | 65.18平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b933aac4-6a70-477a-8b6b-89b93875f0b3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 轻轨口旁500米处 装修1房,71万,中楼层(共31层)                                                    | 2008年建 |                                 1室1厅 | 52.96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-129d8c0e-3771-4563-a20b-4151561ca6bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座  清爽小户 家电自己搭配 随时看房,66万,中楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 51.6平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_C5V7HzJrQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城正规4房，视野好采光好，随时看房,220万,低楼层(共31层)                                                    | 2005年建 |                                 4室1厅 | 142.78平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-49d46b79-a6ca-446d-a334-e3e71fd9f0d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环冉家坝 龙湖品质 装修三房 三轻轨出行 星光配套,225万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 121.99平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_5lklifA0l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环 三轻轨 大四房 全朝中庭 安静 门口 永辉,210万,高楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 137.35平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-b8c93520-0a19-40b4-a0ca-4b3dd7dbcf72.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝三轻轨出行 龙湖品质 上跃户型 精装三房,135万,低楼层(共30层)                                                    | 2008年建 |                                 3室1厅 | 71.1平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_zg4L39FAE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖物业，精装修，视野较好，采光充足，交通便利。,270万,中楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 144平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ca8e76b4-b8f7-4029-84e3-d3063a1e38da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质 自住精装带地暖 冉家坝三轻轨出行 免增值税,196万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 121.07平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-932ebbe1-7210-466c-8f25-97c5e6f0684f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北冉家坝三线轻轨 居家小户型 下楼就是永辉 商场,78万,中楼层(共25层)                                                    | 2008年建 |                                 1室0厅 | 62平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_xC0PF9tjY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城 两年新装修 没住过三居室,240万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-bdd30518-f56a-4927-8b27-efd070affd1b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝正规两房  朝中庭 住家安静  拎包入住,152万,高楼层(共16层)                                                    | 2006年建 |                                 2室1厅 | 88.3平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_1ZEffiUVp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝劲力五星城简装小3房 带租约,168万,低楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 96.4平米                                  | 东南 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_PbKH7LPRd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 三轻轨 爱融荟城 永辉超市 金科小户型一改二,83万,低楼层(共25层)                                                    | 2008年建 |                                 2室1厅 | 62.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c7f6ded7-ab86-4007-8a82-7874693966f4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城高层三居 视野开阔带装修,195万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-eaf174c3-f52c-42a2-ab13-ccdc513382dc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城5组团 住家舒适 小区绿化,165万,低楼层(共31层)                                                    | 2006年建 |                                 2室2厅 | 88平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-d56570fa-b4cb-4c2b-be36-78e5be30d7d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,适中楼层，视野开阔，户型很好,装修保养好,210万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_duZc4AnKS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,精装修 户型方正 西南朝向 住家安静,218万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 121.09平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-01dd6a3f-35a1-4566-a679-21fd7c55da0a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,正规两房 通透户型 安静采光好,145万,中楼层(共31层)                                                    | 2011年建 |                                 2室2厅 | 72.43平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-04182bad-1b8d-4ebf-ae57-265c39c54ad1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质房 清水四房 小高层洋房配置 小区绿化好,268万,高楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144.84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2a79ba11-8cdb-4667-83f3-399f31d4c02e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖物业 70年产权 地铁出口 适合刚需过户或办公,63万,高楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 47.48平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_KTVKKkYXA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,户型方正。小区环境优越。交通便利,190万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 121.58平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_OLChVUxjJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝星光朝中庭4房，自住保养好,225万,高楼层(共31层)                                                    | 2007年建 |                                 4室2厅 | 138.44平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_BgBIabN38_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,枫林秀水 平层四房带三阳台 轻轨口 看公园 户型方正,215万,中楼层(共7层)                                                    | 2004年建 |                                 4室2厅 | 128.77平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_6WAGDaM0l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,户型十分房子 空间利用十分合理，小区环境安静,263万,中楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 160平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_rNIs3hsgI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖物业尚源印象 正规两室 三轻轨出行,158万,高楼层(共31层)                                                    | 2007年建 |                                 2室1厅 | 90.52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-abd3b25b-4c72-4171-a74c-002dce1d61a3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环轻轨500米 带阳台单间 带租约  有星光 急售,85万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 49平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_Dh4btGydo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖物业尚源印象 正规两室 三轻轨出行,158万,高楼层(共31层)                                                    | 2007年建 |                                 2室1厅 | 90.52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-abd3b25b-4c72-4171-a74c-002dce1d61a3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环轻轨500米 带阳台单间 带租约  有星光 急售,85万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 49平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_Dh4btGydo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 精装顶跃洋房，门口地铁出行，正南正北通透,320万,中楼层(共5层)                                                    | 2004年建 |                                 3室2厅 | 183.37平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-ae96895b-1145-4c13-9041-80aed7131e1b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城居家四方 全中庭 看楼下花园 带地暖 有车位,315万,低楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 160平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-81909071-8919-47b6-b905-931b457c074c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖水晶郦城 住家三房 尽享绿化,206万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120.29平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-07dacf68-4d99-47bc-9709-8c08f28c7c04.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,中间楼层 采光好 视野开阔 带星光星辰指标,150万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 72.32平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_TLQh4MTyV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北冉家坝三条轻轨  LOFT风格  办公住家均可,99万,高楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 53平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-5ff988d3-9172-4f3e-b70a-57c20fb16c1e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城主打三房，配套成熟，位置安静,212万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120.31平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-c80e8df5-2f86-475a-9612-276c11f8585e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环龙湖MOCO经典跃层户型 品质物业 出行便利,105万,高楼层(共30层)                                                    | 2008年建 |                                 2室2厅 | 59平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_n5dPvfASd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖品质跃层出行方便住家舒服,120万,高楼层(共24层)                                                    | 2008年建 |                                 1室2厅 | 64.9平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c96dd426-aed6-4191-b7f3-21e35c9fb89b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城励苑 业主自住大四房 带暖气 八成新,298万,低楼层(共31层)                                                    | 2005年建 |                                 4室3厅 | 160平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-48b7e7fc-d2ca-4008-b11d-d5dfcbb98227.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,别墅小区 枫林秀水顶跃双露台 诚心出售,295万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 172.68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ck3Lmmib2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝轻轨站，单间配套，拎包入住业主诚心出售,48万,中楼层(共31层)                                                    | 2008年建 |                                 1室1厅 | 27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5899f355-f82f-49bd-91ca-b4f17b537fff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
