20191026,渝北,财富中心,住家装修跃层，朝北看中庭,住家安静,228万,中楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 154平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-67e11fb2-c59b-4505-9ede-bd5733a29887.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富公寓优质房源，装修简洁、大方，价格还实惠,240万,高楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 164.8平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_RUA4NrlTi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北精装洋房，板式结构，住家装修 ，带车位一起出售,208万,低楼层(共9层)                                                    | 2006年建 |                                 3室2厅 | 124平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_HnjwYCbtu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,住家精装，中楼层，采光好，交通便利,233万,中楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_jynjp5fH8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,房子精装修，业主诚心卖，您值得拥有新上,160万,低楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 95.3平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_U5rQE4EJd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富精装小户型，出租住家双选择,115万,中楼层(共25层)                                                    | 2006年建 |                                 1室2厅 | 79.29平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-77301150-513a-44e0-b41d-6a0d0a436ae3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫园 装修4房 带屋顶花园 带字母车位,290万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 199.62平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-5ad4fd67-e1ba-4b3d-b158-a3c1446cf4c8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科通透跃层3房、户型方正、安静不吵,240万,低楼层(共10层)                                                    | 2004年建 |                                 4室2厅 | 160.4平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8b1fccc3-b426-4b2f-923e-34b4aecf61be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区精装3房，视野开阔 小区门口便是轻轨。急售,235万,高楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 140平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_8bdIV44AM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质楼盘，照母山脚下天然氧吧,120万,高楼层(共17层)                                                    | 2004年建 |                                 2室2厅 | 85.46平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0b49c53f-e34d-4441-ad91-3b740d084e54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北 金科中华坊 4室2厅 业主诚售  居家适宜,240万,中楼层(共6层)                                                    | 2007年建 |                                 4室2厅 | 155平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_kAfFpRFOF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,板楼三居室，现代地中海风格，因工作调动，忍痛出售。,225万,低楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-420b62fe-4753-43a4-bf93-8a357f96b573.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫园 3室2厅 南,132万,中楼层(共17层)                                                    | 2004年建 |                                 3室2厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-20475271-b0ed-4b10-979c-254e752a5c11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,洪湖东湖轻轨站 正规两房 带租约 朝小区 安静,135万,高楼层(共31层)                                                    | 2006年建 |                                 2室2厅 | 81.96平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-f042e925-c6e6-477c-a3f8-b8dd10a0b70a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,正规三房+朝向安静+交通及购物方便,178万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 124.31平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-1f8cb073-42f2-4f2b-8d62-d9fef2e6760d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富中心国际公寓 2室2厅 东南,150万,中楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 91.8平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-307121a9-e0db-46f3-a767-cea6a77b6f06.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫苑 精装单间配套 品质社区 巴蜀旁,59万,低楼层(共18层)                                                    | 2004年建 |                                 1室0厅 | 33.93平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ecba6555-6e37-4385-80e5-613345cd0b4e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富正规三房 步梯洋房业主安心出售,250万,中楼层(共4层)                                                    | 2006年建 |                                 3室2厅 | 152平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_ddCvno7nE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,龙湖西苑旁，财富公寓，端头大四房，朝南,268万,高楼层(共18层)                                                    | 2006年建 |                                 4室2厅 | 167.75平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b435eac8-d0aa-467d-9908-62e8831c7aaa.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,轻轨三房两厅一厨两卫前后大阳台,230万,低楼层(共9层)                                                    | 2006年建 |                                 3室2厅 | 124平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5d5e1401-331a-4a78-b95b-163afb039ae9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,住家小温馨，客厅卧室通透，户型方正，视野光线好,175万,中楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 100.98平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_Wv03T4X71_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫苑 精装端头洋房 带车位 拎包入住,278万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 153.55平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-d313391b-1043-4047-9fd4-caf9f8a0da0f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科通透跃层洋房、带屋顶花园70平、户型方正安静不吵,388万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 216.31平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-d2efb586-51d5-4f13-9230-6a00a243df1d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫园 装修两室 环境优美 交通方便 朝南户型,140万,中楼层(共18层)                                                    | 2004年建 |                                 2室2厅 | 99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-73e1dc5b-a78c-4628-82de-11ce3f6f2f03.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区，一楼带花园洋房，业主诚心出售,300万,低楼层(共4层)                                                    | 2006年建 |                                 4室2厅 | 167平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-99b19043-e711-44f7-a3f4-e34aa2c07ad7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,想找既温馨又居家的两房请看过来,159万,低楼层(共31层)                                                    | 2006年建 |                                 2室2厅 | 82平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_8vKHDBkfa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公 诚心出售,62.4万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 52.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-fbb63666-1593-42c8-8ede-d6de9f55f213.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区 三房 户型好 住家安静,260万,低楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 155平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6c8a0238-1380-4073-a296-d35bebeffb68.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北新牌坊 财富center C区高层 简单装修,138万,高楼层(共31层)                                                    | 2006年建 |                                 2室1厅 | 82平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-5970e620-d523-4421-8482-c2b1ac1f462e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,正规一房+采光好+精装修+视野开阔,128万,高楼层(共28层)                                                    | 2006年建 |                                 1室1厅 | 69.73平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-9b2d99d4-29ef-45f1-8e79-2b14c2cd7242.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,清水大三房+户型方正+采光不错,250万,高楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 122平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-81641af4-d0da-471a-91d4-5439d73907d9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,带车位出售，价格可商量，诚心卖！房子视野很好,250万,高楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-6bec59c0-1be7-4f26-8528-d39b4d9ecf4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富B区高楼层清水两房近轻轨采光好,170万,高楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 95.3平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-c8f4fd1f-e187-491d-b26d-d64a8f9d328d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,中间楼层，户型方正，出租装修。,189万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 122平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_JU97lx2Ce_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,两房，楼层好，视野宽阔，采光充足，配套设施齐全,120万,中楼层(共28层)                                                    | 2006年建 |                                 1室1厅 | 75平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e9ab04c4-4134-4daf-8154-f6177efcb599.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫苑 带50平米花园带60平地下室 带双车位,305万,低楼层(共5层)                                                    | 2008年建 |                                 4室2厅 | 147.83平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-9caf694e-5cef-4d28-8d37-96a1ee4916fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,嘉州正看九龙湖和别墅区，跃层四室，中式精装修。,300万,中楼层(共18层)                                                    | 2006年建 |                                 4室3厅 | 153.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_E4LDPILP8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
