20191026,渝北,翠云,翠云花园 楼梯房 户型方正 看公园 视野好,75万,高楼层(共7层)                                                    | 2009年建 |                                 3室1厅 | 84.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a120931a-8057-4424-80eb-f62649b4c11e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,小区环境安静采光好，物管费低，可以出租，交通便利,65万,中楼层(共7层)                                                    | 2008年建 |                                 3室1厅 | 83.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-517cadfd-47d9-447a-be02-425f4bdcbe08.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云花园 楼梯房 户型方正 看公园 视野好,48万,低楼层(共7层)                                                    | 2006年建 |                                 2室2厅 | 53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_sqqiL1064_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,朝向很好，看别墅风景优美，适合居住,102万,高楼层(共24层)                                                    | 2014年建 |                                 2室2厅 | 82平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d44b39e0-493c-4438-9779-8fdb58c19076.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,房子是正规三房一卫，户型方正，视野好,58万,高楼层(共7层)                                                    | 2007年建 |                                 3室1厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a51ec07a-dfeb-4150-be76-a6492252c3ca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,装修花了三十多万  精装三房 满2年 急售,154万,高楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 122平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e599fec5-7f4e-4018-a224-f9547d81a5e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,次新小区，精装修，大两房，拎包入住，业主诚心出售,108万,中楼层(共33层)                                                    | 2014年建 |                                 2室2厅 | 90.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_RpdBwNe59_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云精装三房，视野开阔，采光佳，可看公园。,129万,高楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_NkFpz5XoN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,联发瞰青 二期清水房，视线看湖看别墅,100万,高楼层(共33层)                                                    | 2014年建 |                                 2室2厅 | 86平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_NNLobwkk0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北翠云，清水两房，业主诚心出售，随时看房。,94万,地下室(共33层)                                                    | 2016年建 |                                 2室2厅 | 82.65平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ceeb5e0e-1a78-4158-80b1-812c77af588c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装两房，品牌家具家电，可直接拎包入住,113.8万,低楼层(共33层)                                                    | 2014年建 |                                 2室2厅 | 88.91平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d201a81d-39d7-4015-b61f-98f389b88b5f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,小区环境安静，采光好，物管费低，面积没有浪费，,48万,高楼层(共7层)                                                    | 2005年建 |                                 2室2厅 | 64平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-1d962125-e45b-4a0a-ae23-b865c53a4371.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,靠山面湖，  通透四房，板式结构，,155万,高楼层(共24层)                                                    | 2014年建 |                                 4室2厅 | 121平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-d77b35b4-e842-4ea5-8416-6f25cb3e0385.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,轻轨旁次新小区 居家两房 满2年 急售,108万,低楼层(共33层)                                                    | 2016年建 |                                 2室2厅 | 82.8平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6817138a-d421-4dd8-936b-93ebcb5a9e4c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,联发瞰青大4房+全新装修拎包入住+148平只要179万,179万,中楼层(共33层)                                                    | 2016年建 |                                 4室2厅 | 148平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/test-711d9b09-d4e1-45f8-bfa2-376f0c3a9967.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,轻轨翠云站大四房双卫通透户型小区环境好,146万,低楼层(共33层)                                                    | 2014年建 |                                 4室1厅 | 144.87平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-74843435-d2b3-4267-ae03-a420498fb038.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,自住正规三房两卫精装随时约看房,146万,中楼层(共28层)                                                    | 2014年建 |                                 3室2厅 | 116平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9538de73-3443-48b8-b556-37775bbd5e21.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北翠云 单价总价低 环境宜居 诚心出售,60万,高楼层(共7层)                                                    | 2007年建 |                                 2室1厅 | 75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fb21e70b-ecdf-45ad-ad7a-5c3c83f503d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北翠云 实惠三房 业主诚心出售,70万,高楼层(共7层)                                                3室1厅 | 83.23平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_S8rv9q9Ua_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云大三房，户型方正，采光充足，业主诚心出售,138万,低楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 121.54平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-650529e5-299b-4795-a4e0-ec0b7e1d657b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,建工未来城内圈洋房 带阁楼和车位 视野好,170万,高楼层(共4层)                                                    | 2005年建 |                                 3室2厅 | 124.9平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c1ffa867-3c96-423c-a3a1-e403d19b353c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云  精装大两房+视野开阔+出行方便,106万,高楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 74.61平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b00f8b4b-803e-4f38-a2b6-98442378aac1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装三房两卫 户型方正 无浪费空间 拎包入住,130万,高楼层(共24层)                                                    | 2014年建 |                                 3室1厅 | 99.74平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a0596908-40d2-4e48-9ae1-316f510b2017.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北装修三房 中间楼层 居家安静  业主诚心出售,125万,低楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c03071d8-eebc-4cd5-9d6d-a2425ee80685.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云轻轨站旁小户型+拎包入住+未住过人,58.6万,高楼层(共12层)                                                    | 2013年建 |                                 1室1厅 | 44平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a83fa432-e5ae-42d2-bab3-bad57d1b3163.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,尚格锦园装修二改三房，2014年新小区,108万,高楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-00cb94c2-1f94-48da-9fad-0e73c3928ef1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,向很好，看别墅风景优美，适合居住,90万,中楼层(共21层)                                                    | 2014年建 |                                 2室1厅 | 60平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_6F7h5r8Ox_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云正两房，户型方正，采光好，视野开阔,93万,低楼层(共32层)                                                2室1厅 | 82平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_yCOQaCjk4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,尚格博园 2室1厅 东南新上,94万,高楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_xgyg4uiUr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,两江新区正两房，户型方正无浪费，采光好生活方便。,99万,中楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 85.04平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-94ca7f57-e878-4e0c-a8d7-07e9ee0714c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云正两房，户型方正，采光好，视野开阔,93万,低楼层(共32层)                                                2室1厅 | 82平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_yCOQaCjk4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,尚格博园 2室1厅 东南新上,94万,高楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_xgyg4uiUr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,两江新区正两房，户型方正无浪费，采光好生活方便。,99万,中楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 85.04平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-94ca7f57-e878-4e0c-a8d7-07e9ee0714c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,四房双卫，装修保养好，采光好，业主诚心出售.,146万,低楼层(共34层)                                                    | 2013年建 |                                 4室1厅 | 81平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-4abc6e03-e2e9-44b5-ba20-125318c7286d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,高楼层 精装两房 对小区中庭 看房方便 换房诚售,128万,中楼层(共29层)                                                    | 2016年建 |                                 3室2厅 | 97平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_La37Z0tVv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,清水大4房.随意装修.户型方正,165万,高楼层(共33层)                                                    | 2016年建 |                                 4室2厅 | 149.2平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-eaa3a12c-2b6f-402e-bc2f-ded90eb4d7d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装两房中高楼层，视野好，保养新。,102万,中楼层(共32层)                                                2室1厅 | 80平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-21445d42-42aa-4e6c-b687-847b83a99832.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云正两房，户型方正，采光好生，视野开阔。,85万,高楼层(共30层)                                                2室2厅 | 66.71平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b5e8ccae-7dc6-4153-bfef-72a7828fea4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云正两房，户型方正，采光好，视野开阔。装修好,105万,高楼层(共31层)                                                    | 2015年建 |                                 2室1厅 | 80.06平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ruLJuEMmw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,3号轻轨站旁，业主住家装修，视线好拎包入住,130万,中楼层(共32层)                                                    | 2015年建 |                                 3室2厅 | 100平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Ahbmu4MZX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,建工未来城装修洋房.业主诚心出售，,188万,中楼层(共4层)                                                3室2厅 | 147平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a7ba8d2b-8c58-4190-87c5-6dbc3acd8ff1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云轻轨站旁看湖大三房+满5唯一+业主急售,140万,高楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 108平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_KkpLNm4Cn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,两江新区翠云 清水正两房  采光通风好，安静不吵,115万,中楼层(共33层)                                                    | 2014年建 |                                 2室2厅 | 91平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-833f3a1d-2641-4a1d-8871-529cd7b05f51.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装修3房，自住不到2年，视野开阔，诚心出售,132万,高楼层(共33层)                                                    | 2016年建 |                                 3室2厅 | 97平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-62daf261-d983-4b09-8966-8132fbfa0e4d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云居家 精装一改二两房 看房方便,96万,中楼层(共30层)                                                2室1厅 | 66.7平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-663d8d04-6a23-490c-9cb4-f23662abfcf5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装两房 户型方正 采光充足 拎包入住,120万,高楼层(共24层)                                                    | 2014年建 |                                 3室2厅 | 84.64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_YaK8VYXnm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,交通便利、跃层装修！拎包入住。,115万,中楼层(共34层)                                                    | 2013年建 |                                 2室1厅 | 65.81平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-45dcae1b-fe10-4396-a5ac-076241d7034c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,联发二期.  精装修4+1户型，拎包入住。看房方便,195万,高楼层(共33层)                                                    | 2016年建 |                                 4室2厅 | 150平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-5a418049-b3f6-4314-9130-c153c9587ae0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,住家精装小户型，家具齐全，拎包入住。,60万,低楼层(共12层)                                                    | 2013年建 |                                 1室0厅 | 44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e76d535-4236-4225-9354-c62d70f96483.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北 翠云 联发瞰清二期 清水两房 朝中庭,106万,低楼层(共33层)                                                    | 2014年建 |                                 2室1厅 | 90.53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7bfa5a56-d456-4bc9-b72d-574f239b19a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,渝北精装修3房次新小区，业主诚心出售，交通出行方便,137万,中楼层(共29层)                                                    | 2016年建 |                                 3室2厅 | 97.79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-dc33f0ed-6068-45f6-9d00-e7c9a8f1d9a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,精装3房，品牌家具家电，可直接拎包入住,135万,高楼层(共32层)                                                    | 2015年建 |                                 3室2厅 | 96平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d63d5285-c63f-4269-81b3-8f619f75966e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,清水四房两卫 中庭位置安静住家 随意装修,160万,高楼层(共33层)                                                    | 2016年建 |                                 4室2厅 | 147平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6bedb657-63a4-4e2d-a443-3dda7e631dbf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,此房带入学指标 ，车库直通楼下，离公园100米,125万,高楼层(共30层)                                                2室2厅 | 88.38平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-75057915-1dd6-4df4-96d3-c6a4fc041714.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云大三房，户型方正，采光充足，业主诚心出售,150万,高楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 121.54平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8ae1ecb5-d07d-4f62-a52e-86d04bcf6355.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,中高楼层，户型方正，正规两房，适宜居家,109万,高楼层(共28层)                                                    | 2014年建 |                                 2室2厅 | 88.53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e9a452e1-1972-496e-8eba-782f7fa81c5b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,翠云,翠云精装三房，位置安静，户型方正，采光好。,128万,高楼层(共33层)                                                    | 2014年建 |                                 3室2厅 | 97平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_lVvHQTxAM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
