20191026,渝北,冉家坝,冉家坝 精装两房 拎包入住 随时看房,96万,中楼层(共32层)                                                    | 2014年建 |                                 2室2厅 | 69平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Xv8RmabmD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,渝北 冉家坝 精装大四房 近轻轨 配套成熟,150万,中楼层(共29层)                                                    | 2008年建 |                                 4室2厅 | 127平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4a3b57b1-0351-4ec2-9665-73caa9349c54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,天一新城 装修三室 保养好 拎包入住 朝中庭,153万,低楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 139.45平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_V0cYdHvdd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,双轻轨 轻轨5.6号线换乘站 次新小区环境好 品牌家具,138万,中楼层(共33层)                                                    | 2016年建 |                                 3室2厅 | 74.38平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_EsMW0qVUl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝轨道旁 橄榄郡急售两房  诚心出售,119万,高楼层(共32层)                                                    | 2008年建 |                                 2室2厅 | 85平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-337a4f63-1b21-4816-88f4-093ca9edd679.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝三轻轨旁 住家两房朝中庭 住家安静,111万,中楼层(共33层)                                                    | 2009年建 |                                 2室1厅 | 86.92平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-61bb7b41-5e61-4425-9480-5c5380b8b6d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝轻轨旁精装两房+朝南视野开阔,78万,中楼层(共32层)                                                    | 2008年建 |                                 2室1厅 | 48.69平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_duPTmQi4V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,渝北冉家坝 三轻轨 正规大两房  带露台  住家安静,120万,低楼层(共18层)                                                    | 2008年建 |                                 2室1厅 | 85.33平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-695e4617-dd72-4e29-93b0-78c7e39e8b15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝双轻轨 业主诚心出售 直接拎包入住,120万,中楼层(共18层)                                                    | 2008年建 |                                 2室1厅 | 84平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_fQ3BHUQrx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,龙湖紫都城端头三房户型  双轻轨  精装修188万,188万,高楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 115平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-7ba6dca6-bb91-4b90-bc61-ec74401529b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,渝北冉家坝中间地段，轻轨三条线，出行方便,54万,中楼层(共30层)                                                    | 2008年建 |                                 1室0厅 | 39.99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-baec89a6-e797-4852-9f32-914a15e94e06.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,此房商品房，视野开阔，卧室私密性高，清水两房。,108万,高楼层(共33层)                                                    | 2012年建 |                                 2室1厅 | 82.29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-971697c9-2198-4beb-967d-d4a3fbda8caa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,渝北区冉家坝精装两房业主诚心出售,120万,低楼层(共34层)                                                    | 2009年建 |                                 2室1厅 | 86平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_bgkqmD73D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝三轻轨出行方便精装1房朝东住家安静,85万,中楼层(共34层)                                                    | 2009年建 |                                 1室1厅 | 62.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_wr8XzAvGy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,渝北冉家坝小两室，户型好，刚需房，装修风格不错,75万,低楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 44.31平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_gzwgP0JC6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,东和春天东区 精装三房 朝南 住家舒适 拎包入住,160万,低楼层(共24层)                                                    | 2006年建 |                                 3室2厅 | 127平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_n3pmuv3N1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,大龙山轻轨上 两房改三房户型 带屋顶花园,130万,高楼层(共30层)                                                    | 2007年建 |                                 3室2厅 | 88平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_StMJwu9Lh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,冉家坝,冉家坝轻轨小户型 通天然气 精装小两房 可拎包入住,72万,中楼层(共32层)                                                    | 2008年建 |                                 2室1厅 | 55平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_YKiAqUiCv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
