20191026,渝北,石子山,冉家坝 天邻风景 精装三房 视野开阔 采光很好 大阳台,135万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 110平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-06d12ee0-2e39-44cb-bae6-6ddc672c80cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 清水三房 视野好 采光好,130万,中楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 85平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/test-7ec34d6f-7fb3-4c61-abc0-b5989eeba54e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北源著天街旁两江春城精装顶楼跃层 全新装修有露台,252万,高楼层(共7层)                                                    | 2016年建 |                                 4室2厅 | 110.66平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-315b5a29-e7f9-4193-9c65-be1693f93fed.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城麓府 一楼跃层洋房 清水带花园带地下室,220万,低楼层(共6层)                                                    | 2018年建 |                                 3室2厅 | 114.75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_NlnHD2xdW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著 精装小三房 朝东看中庭 住家安静,149万,低楼层(共39层)                                                    | 2015年建 |                                 3室2厅 | 85.05平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_ewgjaIXZ5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著三期装修小三房，中楼层，视野好,160万,中楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96.55平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_u78dauWTi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区+端头三房+精装+拎包入住,185万,低楼层(共32层)                                                    | 2012年建 |                                 3室2厅 | 91平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a2ebb46a-abb3-4003-9cbd-41233a9a699c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区龙湖品质 改善型清水大四房 正朝南 看公园,265万,低楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 172平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c782c33d-ad66-46ec-ba5c-1b9831b3a582.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区精装小两房，诚心出售,105万,低楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_xbyv3bGdJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著南区（环线旁）矮楼层（进出方便）装修15万,155万,低楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 86.33平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-44840024-7637-436d-a10f-9568463a26b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区 2室1厅 东,125万,中楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 61平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/6b5232f3-888b-4576-b0fb-0741f1062ffc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
