20191026,渝北,松树桥,配套成熟， 出行方便，可拎包入住,58万,低楼层(共27层)                                                    | 2007年建 |                                 2室1厅 | 59.5平米                                  | 东 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_id7xxmqjR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,花卉园商圈轻轨舒适小两房 拎包入住,52万,低楼层(共27层)                                                    | 2007年建 |                                 2室1厅 | 44平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_8MWb6NPE7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,花卉园轻轨站 永辉超市 波尔多 正规一室一厅拎包入住,58万,中楼层(共27层)                                                    | 2007年建 |                                 1室1厅 | 49.17平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c993feac-02bf-46a9-9e19-0e399f54e7c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,心悦雅居装修正规两室一厅  带装修户型好,72万,低楼层(共18层)                                                    | 2007年建 |                                 2室1厅 | 53.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5f06e922-b516-45e4-9621-0f4e82044d82.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,金城国际，正规小两房，采光充足,68万,高楼层(共35层)                                                    | 2008年建 |                                 2室1厅 | 45平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_Z04teV1dT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,百康年拿铁城正规三房双卫  住家安静,155万,中楼层(共32层)                                                    | 2006年建 |                                 3室2厅 | 113平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_qkvlaUgJx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,百康年拿铁城 正规两房带书房  朝南朝小区中庭 安静,118万,中楼层(共32层)                                                    | 2006年建 |                                 2室1厅 | 79.29平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5f246720-4539-40a3-8b12-13289dfd1ee2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,百康年拿铁城精装修跃层三房，业主急售,150万,中楼层(共13层)                                                    | 2006年建 |                                 3室1厅 | 113平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2dea9c90-5689-4d78-bcdb-463e018024ea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,龙溪镇 花卉园跃层一室一厅，精装修，总价低,41万,低楼层(共27层)                                                    | 2007年建 |                                 1室1厅 | 30.4平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-da99b8f1-a906-400f-a49b-5325100d2fce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,松树桥,花卉园轻轨站旁 精装三房诚心出售,158万,中楼层(共13层)                                                    | 2006年建 |                                 3室2厅 | 114平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-9f03d069-e239-4d01-adb7-aa7c12eac7bb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
