20191026,渝北,鸳鸯,近轻轨， 视野看别墅，正三房双卫，带家具家电,125万,中楼层(共12层)                                                    | 2007年建 |                                 3室2厅 | 109.72平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-c6423987-f07f-4b26-8472-3421109dd4b5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,带露台大花园，别致小户型，免增值税，交通便利,70万,低楼层(共19层)                                                    | 2007年建 |                                 1室1厅 | 57平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f1be84a0-6344-4b7f-b78f-163feded36a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,鸳鸯双轻轨 融科品质 2+1户型 入户计半 实用性强,128万,中楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 84.65平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_K8WW6hHQj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,品质小区 精装修两房，可拎包入住,110万,低楼层(共26层)                                                    | 2016年建 |                                 2室1厅 | 62.32平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_HcoQ6lnvT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,装修跃层两房，高得房率，近轻轨，带家具家电,119万,高楼层(共32层)                                                    | 2014年建 |                                 2室1厅 | 74平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-561732bd-2722-4631-bf57-3d5fa314de8e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,海阔天空 视野朝中庭 装修清爽 近轻轨,133万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 86.41平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e12d0c59-6f17-49a0-baf2-da2d3f6ff618.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,鸳鸯轻轨站旁 品质小区 精装两房 即买即住,130万,低楼层(共25层)                                                    | 2016年建 |                                 2室2厅 | 81.25平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_J8VL35odM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,刚需小两室，居家装修，配套完善，出行方便。,120万,低楼层(共33层)                                                    | 2014年建 |                                 2室2厅 | 72.67平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_JLNgEWzHr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,板式通透户大三房，保养得很好的低楼层洋房,160万,低楼层(共6层)                                                    | 2007年建 |                                 3室2厅 | 128.78平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-5bb57c6c-b274-4bd2-b7af-45a8dc865125.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,鸳鸯,渝北鸳鸯品质小区精装过度小两房，家具齐拎包入住。,127万,中楼层(共31层)                                                    | 2014年建 |                                 2室2厅 | 75.08平米                                  | 东 东南 南 西,https://ke-image.ljcdn.com/500000-inspection/pc1_lX2SNCTeo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
