20191026,渝中,化龙桥,雍江翠湖，次新房品质住宅小区，标准两室户型佳,158万,低楼层(共9层)                                                    | 2016年建 |                                 2室2厅 | 97.88平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/61ff7d81-0d78-49f5-b360-973b43cf3304_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,重庆天地 雍江御庭 精装小两房 朝中庭 带人和街指标,165万,低楼层(共36层)                                                    | 2014年建 |                                 2室1厅 | 81.68平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/bf248aac-0e71-4b74-a0fe-f134302526af_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,雍江翠璟三房，户型方正，视野采光好。安静适合居家,249.9万,高楼层(共32层)                                                    | 2014年建 |                                 3室2厅 | 133平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/831fda2e-936c-4d5b-bed1-b70c4bf4525a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,翠湖独有小三房，户型紧凑，朝中庭看东南采光视野好,190万,中楼层(共28层)                                                    | 2016年建 |                                 3室2厅 | 105平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/b7b68a42-98e1-4a87-b5e7-426d2511c8b2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,雍江苑 朝南2房 高楼层采光好 视野开阔 满2年,160万,高楼层(共31层)                                                    | 2009年建 |                                 2室1厅 | 102.44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-fcf40cb7-a8d0-47b0-a7e3-ec70638f91a8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,雍江艺庭3房精装,环境优美,宜居安静。,250万,低楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 131平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/b586fcb1-e229-4dd4-b856-78d9a4e13d11_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,正规两房，交通便利，出门就是公交站，离轻轨也近,80万,高楼层(共35层)                                                    | 2006年建 |                                 2室2厅 | 66.49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/0b105aa5-c908-4bcb-b9ef-b979b744c076_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,此房满两年，业主诚心出售，看江户型，采光充足。,59万,低楼层(共35层)                                                    | 2006年建 |                                 1室1厅 | 48.44平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-bb18dd21-9278-49f6-b61e-dcc4779e067d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,正规一室一厅 朝南 采光通风好 精装修,110万,低楼层(共41层)                                                    | 2016年建 |                                 1室1厅 | 60.88平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-32b6c1fc-b115-42ed-9cd4-ec75dbd7a1d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,重庆天地雍江苑精装三房，满五年，一线江景,252万,高楼层(共18层)                                                    | 2009年建 |                                 3室2厅 | 150.83平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-ef98fc15-2838-4c89-abb9-400bcee654da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝中,化龙桥,带入户花园 储物间 景观大阳台 拎包入住,400万,低楼层(共18层)                                                    | 2010年建 |                                 4室2厅 | 220平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-53f38aba-3457-4775-8090-517397eb602b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
