20191026,合川,合川,北新御龙湾,6903元/m2,88套在售二手房
20191026,合川,合川,南岸,5737元/m2,1套在售二手房
20191026,合川,合川,缤果城,暂无,1套在售二手房
20191026,合川,合川,花滩国际新城,7186元/m2,2套在售二手房
20191026,合川,合川,金科世界城南区（合川）,8117元/m2,1套在售二手房
20191026,合川,合川,众泰翡翠湖,6010元/m2,0套在售二手房
20191026,合川,合川,卓然假日之城,6145元/m2,0套在售二手房
20191026,合川,合川,美绿居翡翠名苑,6188元/m2,0套在售二手房
20191026,合川,合川,东海滨江城,4812元/m2,1套在售二手房
20191026,合川,合川,卓然翡翠城,7387元/m2,2套在售二手房
20191026,合川,合川,宝龙城市花园,6810元/m2,4套在售二手房
20191026,合川,合川,紫苑,5106元/m2,0套在售二手房
20191026,合川,合川,名门江山,8374元/m2,0套在售二手房
20191026,合川,合川,江上城,6742元/m2,0套在售二手房
20191026,合川,合川,宝润国际（合川）,7523元/m2,0套在售二手房
20191026,合川,合川,较场坝社区,暂无,0套在售二手房
20191026,合川,合川,天嘉南城金街,6490元/m2,0套在售二手房
20191026,合川,合川,马赛庄园,9780元/m2,0套在售二手房
20191026,合川,合川,龙川北郡,6077元/m2,1套在售二手房
20191026,合川,合川,兆甲海润国际二期,7007元/m2,0套在售二手房
20191026,合川,合川,凤凰城,7078元/m2,2套在售二手房
20191026,合川,合川,维多利亚花园,5903元/m2,1套在售二手房
20191026,合川,合川,驰华江城故事C1区,暂无,0套在售二手房
20191026,合川,合川,合州花园A区,暂无,0套在售二手房
20191026,合川,合川,博盈学府嘉苑二期C区,暂无,0套在售二手房
20191026,合川,合川,花滩西庭花园,暂无,0套在售二手房
20191026,合川,合川,尚书府第,暂无,0套在售二手房
20191026,合川,合川,博盈学府嘉苑B区,暂无,0套在售二手房
20191026,合川,合川,翠庭,暂无,0套在售二手房
20191026,合川,合川,兴盈国际城,暂无,0套在售二手房
20191026,合川,合川,腾辉家属院,暂无,0套在售二手房
20191026,合川,合川,重棉四厂九八集资房,暂无,0套在售二手房
20191026,合川,合川,东苑小区,暂无,0套在售二手房
20191026,合川,合川,紫月花园,暂无,0套在售二手房
20191026,合川,合川,金色港湾俊景,暂无,0套在售二手房
20191026,合川,合川,铁犁笆苑,暂无,0套在售二手房
20191026,合川,合川,大南街小区,暂无,0套在售二手房
20191026,合川,合川,三星锦绣园,暂无,0套在售二手房
20191026,合川,合川,金桥小区,暂无,0套在售二手房
20191026,合川,合川,金鹿城市花园地税局住宅区,暂无,0套在售二手房
20191026,合川,合川,逸城山水,暂无,0套在售二手房
20191026,合川,合川,金鹿小区A区,暂无,0套在售二手房
20191026,合川,合川,创力小区,暂无,0套在售二手房
20191026,合川,合川,嘉禾苑,暂无,0套在售二手房
20191026,合川,合川,阳光雅舍,暂无,0套在售二手房
20191026,合川,合川,尚特阳光,暂无,0套在售二手房
20191026,合川,合川,望江楼40号院,暂无,0套在售二手房
20191026,合川,合川,金鹿城市花园静苑,暂无,0套在售二手房
20191026,合川,合川,绿港蓝滨1号,暂无,0套在售二手房
20191026,合川,合川,望江楼46号,暂无,0套在售二手房
20191026,合川,合川,义乌鑫城西区,暂无,0套在售二手房
20191026,合川,合川,鸿寓大厦,暂无,0套在售二手房
20191026,合川,合川,南景豪爵,6728元/m2,0套在售二手房
20191026,合川,合川,丽景水岸,7127元/m2,1套在售二手房
20191026,合川,合川,御景江山（合川）,7587元/m2,0套在售二手房
20191026,合川,合川,涪滨公馆,6353元/m2,0套在售二手房
20191026,合川,合川,鑫鑫花园,暂无,0套在售二手房
20191026,合川,合川,华地领域,8141元/m2,0套在售二手房
20191026,合川,合川,泰丰花园,暂无,0套在售二手房
20191026,合川,合川,青山小区,暂无,0套在售二手房
20191026,合川,合川,世纪金马花漫里,7585元/m2,0套在售二手房
20191026,合川,合川,金贵源白鹤林小区,6503元/m2,0套在售二手房
20191026,合川,合川,江润北城天地,6008元/m2,0套在售二手房
20191026,合川,合川,红岗源,暂无,0套在售二手房
20191026,合川,合川,合州花园D2区,暂无,0套在售二手房
20191026,合川,合川,蓝色天际,6677元/m2,0套在售二手房
20191026,合川,合川,南城花园小区,5222元/m2,0套在售二手房
20191026,合川,合川,安成湖畔佳梦,暂无,0套在售二手房
20191026,合川,合川,辰锦花园D区,4666元/m2,0套在售二手房
20191026,合川,合川,金科世界城北区（合川）,暂无,0套在售二手房
20191026,合川,合川,江城福地,5873元/m2,0套在售二手房
20191026,合川,合川,高阳家园B区,4339元/m2,0套在售二手房
20191026,合川,合川,香榭丽苑,暂无,0套在售二手房
20191026,合川,合川,嘉鑫花园,暂无,0套在售二手房
20191026,合川,合川,城市静苑,暂无,0套在售二手房
20191026,合川,合川,南城壹品园,暂无,0套在售二手房
20191026,合川,合川,仁豪小区,暂无,0套在售二手房
20191026,合川,合川,江城福地,5873元/m2,0套在售二手房
20191026,合川,合川,城市静苑,暂无,0套在售二手房
20191026,合川,合川,南城壹品园,暂无,0套在售二手房
20191026,合川,合川,仁豪小区,暂无,0套在售二手房
20191026,合川,合川,金科世界城北区（合川）,暂无,0套在售二手房
20191026,合川,合川,东邦花果山,7046元/m2,1套在售二手房
20191026,合川,合川,世纪花园,暂无,1套在售二手房
20191026,合川,合川,龙湖美岸小区,6016元/m2,0套在售二手房
20191026,合川,合川,靓景苑,暂无,1套在售二手房
20191026,合川,合川,江润公园里,6364元/m2,2套在售二手房
20191026,合川,合川,涪江印象,7519元/m2,0套在售二手房
20191026,合川,合川,东海观天下,7055元/m2,0套在售二手房
20191026,合川,合川,三江希望城,7701元/m2,0套在售二手房
20191026,合川,合川,安太锦江新城,6516元/m2,0套在售二手房
20191026,合川,合川,新都雅筑,6016元/m2,1套在售二手房
20191026,合川,合川,锦城花园,5275元/m2,1套在售二手房
20191026,合川,合川,北城佳苑,暂无,0套在售二手房
20191026,合川,合川,世纪金马生态城,6848元/m2,1套在售二手房
20191026,合川,合川,畅谷国际,7362元/m2,0套在售二手房
20191026,合川,合川,江润地中海岸,7296元/m2,3套在售二手房
20191026,合川,合川,金科天籁城(合川),暂无,0套在售二手房
20191026,合川,合川,兆甲海润国际一期,5915元/m2,2套在售二手房
20191026,合川,合川,财富广场逸景城,6093元/m2,2套在售二手房
20191026,合川,合川,江城丽景,6750元/m2,1套在售二手房
20191026,合川,合川,德润世家,7294元/m2,2套在售二手房
20191026,合川,合川,鸿发名仕景苑,6137元/m2,0套在售二手房
20191026,合川,合川,欧博星座,7587元/m2,1套在售二手房
20191026,合川,合川,中悦城尚城,暂无,0套在售二手房
20191026,合川,合川,MINI时代小区,5805元/m2,2套在售二手房
