20191026,沙坪坝,站西路,金阳牛津街,12368元/m2,42套在售二手房
20191026,沙坪坝,站西路,融汇国际温泉城,13733元/m2,81套在售二手房
20191026,沙坪坝,站西路,锦绣天城,11117元/m2,16套在售二手房
20191026,沙坪坝,站西路,天安仕锦阁,13760元/m2,10套在售二手房
20191026,沙坪坝,站西路,沙铁大厦,10830元/m2,6套在售二手房
20191026,沙坪坝,站西路,斌鑫云景天城,12658元/m2,3套在售二手房
20191026,沙坪坝,站西路,梨树新居,11967元/m2,12套在售二手房
20191026,沙坪坝,站西路,洪逸新村,10548元/m2,0套在售二手房
20191026,沙坪坝,站西路,方园小区,13126元/m2,1套在售二手房
20191026,沙坪坝,站西路,天陈路,10419元/m2,1套在售二手房
20191026,沙坪坝,站西路,沙铁村21到25号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村3号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村27号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村4号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村35号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村小区,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村20号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村17号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村15号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村16号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村28号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙铁村9号,暂无,0套在售二手房
20191026,沙坪坝,站西路,晒光坪81号,8515元/m2,0套在售二手房
20191026,沙坪坝,站西路,沙铁村36号,暂无,0套在售二手房
20191026,沙坪坝,站西路,沙坪公园,9428元/m2,0套在售二手房
