20191026,渝北,财富中心,金科中华坊紫园,14656元/m2,13套在售二手房
20191026,渝北,财富中心,财富中心国际公寓,16497元/m2,34套在售二手房
20191026,渝北,财富中心,金科中华坊,15196元/m2,7套在售二手房
20191026,渝北,财富中心,财富中心国际公寓C区,15933元/m2,24套在售二手房
20191026,渝北,财富中心,渝兴V客部落,16138元/m2,2套在售二手房
20191026,渝北,财富中心,财富汇,11579元/m2,11套在售二手房
20191026,渝北,财富中心,财富园,暂无,0套在售二手房
20191026,渝北,财富中心,天王星商务大厦,暂无,0套在售二手房
20191026,渝北,财富中心,力华科谷,暂无,0套在售二手房
20191026,渝北,财富中心,财富大厦,暂无,0套在售二手房
20191026,渝北,财富中心,重庆涉外商务区,暂无,0套在售二手房
20191026,渝北,财富中心,重庆财富金融中心FFC,暂无,0套在售二手房
20191026,渝北,财富中心,土星商务中心,暂无,0套在售二手房
