20191026,合川,北碚老城区,整租·丹阳大道51号,2室2厅,90平米,700
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,500
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,550
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室1厅,53平米,500
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,600
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,59平米,600
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,600
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,700
20191026,合川,北碚老城区,整租·天府丽正丽江花园,2室2厅,88平米,1000
20191026,合川,北碚老城区,整租·银翔朗琴湾,3室2厅,118平米,900
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室1厅,53平米,700
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,68平米,800
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·银翔盛世悦庭,2室1厅,84平米,800
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,72平米,800
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·天府丽正丽东花园,3室2厅,97平米,1300
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,600
20191026,合川,北碚老城区,整租·天府丽正丽新花园,2室1厅,78平米,500
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,600
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室1厅,53平米,600
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室2厅,58平米,900
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室2厅,72平米,600
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,58平米,300
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,500
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室1厅,53平米,500
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,1000
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室0厅,34平米,500
20191026,合川,北碚老城区,整租·天府丽正丽东花园,2室1厅,76平米,700
20191026,合川,北碚老城区,整租·焦家沟天府民居5区,3室1厅,75平米,600
20191026,合川,北碚老城区,整租·焦家沟天府民居3区,2室2厅,65平米,450
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,68平米,1000
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,700
20191026,合川,北碚老城区,整租·天府丽正丽新花园,2室1厅,75平米,1000
20191026,合川,北碚老城区,整租·天府丽正丽云花园,3室2厅,110平米,1000
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,58平米,800
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,68平米,800
20191026,合川,北碚老城区,整租·银翔盛世悦庭,2室1厅,68平米,800
20191026,合川,北碚老城区,整租·品鉴康养小镇,3室2厅,86平米,1500
20191026,合川,北碚老城区,整租·银翔盛世华庭,2室1厅,72平米,1000
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,69平米,1000
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,68平米,1000
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,2室1厅,68平米,1000
20191026,合川,北碚老城区,整租·银翔盛世悦庭,3室2厅,70平米,1000
20191026,合川,北碚老城区,整租·银翔城盛世豪庭,3室1厅,88平米,1300
20191026,合川,北碚老城区,整租·银翔盛世悦庭,1室1厅,53平米,600
