20191026,江北,石马河,合租·民悦新居,1居室,15平米,850
20191026,江北,石马河,合租·金科十年城北区,4居室,15平米,678
20191026,江北,石马河,整租·凤凰湾天悦,2室1厅,80平米,700
20191026,江北,石马河,合租·金科十年城北区,3居室,20平米,848
20191026,江北,石马河,合租·金科十年城西区,2居室,121平米,850
20191026,江北,石马河,合租·金科十年城北区,4居室,13平米,648
20191026,江北,石马河,整租·金科十年城东区,1室0厅,16平米,450
20191026,江北,石马河,整租·凤凰湾天骄,1室2厅,54平米,1200
20191026,江北,石马河,整租·金科十年城西区,3室2厅,111平米,900
20191026,江北,石马河,整租·凤凰湾驭峰,1室1厅,43平米,800
20191026,江北,石马河,整租·壹江城,3室2厅,150平米,1200
20191026,江北,石马河,合租·金科十年城北区,4居室,30平米,958
20191026,江北,石马河,整租·凤凰湾驭府,4室1厅,172平米,1300
20191026,江北,石马河,合租·金科十年城北区,3居室,19平米,748
20191026,江北,石马河,整租·大川滨水城,2室2厅,91平米,1200
20191026,江北,石马河,整租·凤凰湾驭城,3室2厅,78平米,900
20191026,江北,石马河,整租·国奥村时光漫,2室2厅,84平米,1100
20191026,江北,石马河,整租·金科十年城西区,3室2厅,94平米,1200
20191026,江北,石马河,整租·民悦新居,2室2厅,80平米,1800
20191026,江北,石马河,整租·金科十年城西区,2室1厅,51平米,1800
20191026,江北,石马河,整租·金科十年城东区,2室1厅,87平米,1500
20191026,江北,石马河,合租·金科桦林景苑,4居室,14平米,850
20191026,江北,石马河,整租·金科十年城西区,2室2厅,75平米,1800
20191026,江北,石马河,合租·金科十年城北区,3居室,20平米,808
20191026,江北,石马河,整租·凤凰湾天骄,3室2厅,94平米,2000
20191026,江北,石马河,合租·金科十年城北区,4居室,27平米,950
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,77平米,1700
20191026,江北,石马河,合租·金科十年城北区,5居室,15平米,690
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,928
20191026,江北,石马河,合租·金科十年城西区,4居室,28平米,958
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,76平米,2000
20191026,江北,石马河,合租·金科十年城东区,4居室,16平米,648
20191026,江北,石马河,整租·万科悦湾北区,2室1厅,77平米,1800
20191026,江北,石马河,合租·金科十年城北区,4居室,13平米,798
20191026,江北,石马河,整租·万科悦湾北区,2室1厅,77平米,2000
20191026,江北,石马河,合租·金科十年城北区,4居室,13平米,620
20191026,江北,石马河,整租·民悦新居,2室2厅,79平米,1600
20191026,江北,石马河,整租·大川滨水城,2室1厅,57平米,1600
20191026,江北,石马河,整租·金科十年城东区,2室1厅,87平米,2000
20191026,江北,石马河,整租·金科十年城西区,2室1厅,52平米,1800
20191026,江北,石马河,整租·金科十年城西区,2室1厅,52平米,2000
20191026,江北,石马河,合租·金科十年城北区,5居室,13平米,650
20191026,江北,石马河,整租·大川水岸菲尔小城,2室2厅,81平米,1800
20191026,江北,石马河,合租·金科十年城西区,4居室,13平米,668
20191026,江北,石马河,整租·壹江城,3室1厅,49平米,2000
20191026,江北,石马河,整租·壹江城,2室2厅,87平米,1800
20191026,江北,石马河,整租·壹江城,3室1厅,94平米,1800
20191026,江北,石马河,整租·曦城,2室2厅,80平米,1800
20191026,江北,石马河,整租·金科十年城西区,2室2厅,77平米,2000
20191026,江北,石马河,整租·金科十年城西区,1室1厅,44平米,1760
20191026,江北,石马河,整租·凤凰湾驭城,2室1厅,61平米,2000
20191026,江北,石马河,合租·金科十年城西区,4居室,15平米,668
20191026,江北,石马河,整租·金科十年城西区,4室2厅,139平米,1800
20191026,江北,石马河,合租·金科十年城西区,5居室,15平米,850
20191026,江北,石马河,整租·海悦香缇,2室2厅,146平米,2000
20191026,江北,石马河,合租·金科十年城北区,3居室,25平米,908
20191026,江北,石马河,整租·金科十年城西区,2室2厅,78平米,2000
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,928
20191026,江北,石马河,合租·金科十年城北区,4居室,13平米,798
20191026,江北,石马河,合租·金科十年城北区,3居室,20平米,848
20191026,江北,石马河,整租·金科桦林景苑,2室1厅,151平米,1600
20191026,江北,石马河,合租·金科十年城西区,4居室,20平米,848
20191026,江北,石马河,整租·金科十年城西区,2室1厅,52平米,2000
20191026,江北,石马河,合租·金科十年城西区,4居室,25平米,848
20191026,江北,石马河,整租·金科十年城西区,2室2厅,77平米,2000
20191026,江北,石马河,合租·金科十年城西区,4居室,32平米,1000
20191026,江北,石马河,整租·金科十年城西区,3室2厅,113平米,1600
20191026,江北,石马河,整租·壹江城,2室1厅,81平米,2000
20191026,江北,石马河,整租·壹江城,2室2厅,78平米,2000
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2200
20191026,江北,石马河,整租·国奥村二期,2室2厅,62平米,2300
20191026,江北,石马河,合租·金科十年城北区,4居室,30平米,1078
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,77平米,2100
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,958
20191026,江北,石马河,整租·万科悦湾南区,3室2厅,93平米,2500
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2300
20191026,江北,石马河,整租·金科十年城西区,2室2厅,79平米,2400
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2500
20191026,江北,石马河,整租·凤凰湾繁华里,3室1厅,95平米,2500
20191026,江北,石马河,整租·金科十年城北区,2室1厅,77平米,2300
20191026,江北,石马河,整租·金科十年城东区,2室2厅,79平米,2500
20191026,江北,石马河,合租·金科十年城北区,4居室,20平米,878
20191026,江北,石马河,整租·凤凰湾天悦,2室1厅,76平米,2500
20191026,江北,石马河,合租·金科十年城东区,4居室,20平米,848
20191026,江北,石马河,整租·金科十年城东区,2室1厅,87平米,2300
20191026,江北,石马河,合租·金科十年城西区,4居室,20平米,868
20191026,江北,石马河,整租·万科悦湾北区,2室1厅,76平米,2200
20191026,江北,石马河,合租·金科十年城西区,4居室,13平米,648
20191026,江北,石马河,合租·金科十年城北区,4居室,13平米,828
