20191026,九龙坡,西永,整租·金科天宸二街区,1室0厅,88平米,900
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,30平米,1100
20191026,九龙坡,西永,整租·龙湖好城时光,3室2厅,67平米,500
20191026,九龙坡,西永,整租·首创光和城,2室1厅,76平米,1800
20191026,九龙坡,西永,整租·西城科景小区,2室1厅,73平米,1000
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,30平米,1088
20191026,九龙坡,西永,整租·龙湖好城时光,1室1厅,27平米,1100
20191026,九龙坡,西永,整租·龙湖拉特芳斯,1室1厅,30平米,1100
20191026,九龙坡,西永,整租·龙湖拉特芳斯,1室0厅,26平米,980
20191026,九龙坡,西永,整租·首创光和城,3室2厅,93平米,800
20191026,九龙坡,西永,整租·隆鑫花漾汇,1室1厅,38平米,1100
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,29平米,999
20191026,九龙坡,西永,合租·龙湖拉特芳斯,1居室,20平米,1100
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,30平米,999
20191026,九龙坡,西永,整租·恒大优活城,2室2厅,75平米,1000
20191026,九龙坡,西永,整租·渝开发格莱美城,2室2厅,81平米,800
20191026,九龙坡,西永,整租·隆鑫花漾汇,1室1厅,38平米,1000
20191026,九龙坡,西永,整租·金科天宸三街区,2室2厅,75平米,600
20191026,九龙坡,西永,整租·金科天宸九街区,3室2厅,84平米,600
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室1厅,32平米,500
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,38平米,600
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,30平米,999
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,33平米,950
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,35平米,999
20191026,九龙坡,西永,整租·隆鑫花漾汇,3室2厅,120平米,1000
20191026,九龙坡,西永,整租·龙湖拉特芳斯,1室1厅,29平米,1400
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,29平米,850
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,35平米,1200
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,35平米,1300
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,30平米,1200
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,38平米,1400
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,29平米,850
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,30平米,1300
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,29平米,850
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,35平米,1300
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,29平米,850
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,34平米,1300
20191026,九龙坡,西永,整租·龙湖好城时光,1室1厅,37平米,800
20191026,九龙坡,西永,整租·美的金科郡,3室2厅,86平米,980
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,31平米,800
20191026,九龙坡,西永,整租·首创光和城,1室0厅,45平米,900
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,31平米,800
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,33平米,1400
20191026,九龙坡,西永,整租·金科天宸九街区,3室1厅,96平米,1000
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,36平米,1250
20191026,九龙坡,西永,整租·龙湖好城时光,1室1厅,33平米,1200
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,29平米,850
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,31平米,800
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室1厅,35平米,800
20191026,九龙坡,西永,整租·渝开发格莱美城,3室2厅,89平米,1000
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室1厅,35平米,800
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,31平米,800
20191026,九龙坡,西永,整租·龙湖好城时光,1室0厅,34平米,1300
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,32平米,1100
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,33平米,1400
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,32平米,864
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,35平米,1400
20191026,九龙坡,西永,整租·金科天宸八街区,4室2厅,115平米,1000
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,29平米,1400
20191026,九龙坡,西永,整租·龙湖拉特芳斯二街区,1室0厅,29平米,1400
20191026,九龙坡,西永,整租·首创光和城,2室1厅,76平米,1800
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室0厅,32平米,700
20191026,九龙坡,西永,独栋·每客逸家,坚果店,30平米,999
20191026,九龙坡,西永,整租·龙湖拉特方斯Ⅱ街区,1室1厅,29平米,1300
20191026,九龙坡,西永,整租·首创光和城,2室1厅,76平米,1800
20191026,九龙坡,西永,整租·龙湖拉特芳斯,1室0厅,25平米,1250
20191026,九龙坡,西永,独栋·每客逸家,坚果店,30平米,1400
