20191026,南岸,七公里,整租·南塘源,2室1厅,80平米,1300
20191026,南岸,七公里,整租·万科金域学府,2室1厅,57平米,1700
20191026,南岸,七公里,整租·学府大道69号雨山前,2室1厅,30平米,1100
20191026,南岸,七公里,整租·万科金域学府,2室1厅,65平米,1906
20191026,南岸,七公里,整租·保利观塘,2室1厅,69平米,800
20191026,南岸,七公里,整租·万科金域学府,2室1厅,65平米,1800
20191026,南岸,七公里,整租·保利观塘,3室1厅,100平米,1000
20191026,南岸,七公里,整租·保利观塘,3室1厅,98平米,1000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,112平米,1300
20191026,南岸,七公里,整租·保利观塘,2室1厅,63平米,800
20191026,南岸,七公里,整租·保利观塘,3室2厅,97平米,1200
20191026,南岸,七公里,整租·万科金域学府时光里,3室1厅,71平米,2000
20191026,南岸,七公里,整租·保利观塘,3室2厅,94平米,1000
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,1800
20191026,南岸,七公里,整租·保利观塘,3室2厅,95平米,800
20191026,南岸,七公里,整租·保利观塘,3室2厅,100平米,1000
20191026,南岸,七公里,整租·保利观塘,3室2厅,100平米,800
20191026,南岸,七公里,整租·学府大道69号如果,1室1厅,56平米,1500
20191026,南岸,七公里,整租·学府大道69号美梦城真,2室2厅,63平米,1700
20191026,南岸,七公里,整租·万科金域学府,3室1厅,78平米,1500
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,1690
20191026,南岸,七公里,整租·万科金域学府,3室1厅,78平米,2000
20191026,南岸,七公里,整租·万科金域学府,2室2厅,57平米,1700
20191026,南岸,七公里,整租·万科金域学府,2室1厅,65平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,126平米,1500
20191026,南岸,七公里,整租·万科金域学府翰江一期,3室2厅,79平米,2400
20191026,南岸,七公里,整租·保利观塘,3室2厅,97平米,1500
20191026,南岸,七公里,合租·学府大道69号美梦城真,4居室,25平米,850
20191026,南岸,七公里,整租·宽仁雅苑,3室2厅,95平米,1500
20191026,南岸,七公里,合租·学府大道69号美梦城真,4居室,16平米,800
