20191026,渝北,两路,整租·益寿园,4室1厅,168平米,1500
20191026,渝北,两路,合租·北湖支路,4居室,17平米,520
20191026,渝北,两路,整租·时代阳光,3室2厅,110平米,1750
20191026,渝北,两路,合租·翠湖路一巷71号,4居室,15平米,520
20191026,渝北,两路,整租·人和春天,2室2厅,75平米,1700
20191026,渝北,两路,合租·南湖花园,5居室,15平米,510
20191026,渝北,两路,整租·山水绿城,2室2厅,117平米,1500
20191026,渝北,两路,整租·金港国际,1室2厅,50平米,2000
20191026,渝北,两路,整租·金港国际,2室2厅,60平米,2000
20191026,渝北,两路,整租·金港国际,2室2厅,51平米,1900
20191026,渝北,两路,整租·高朋花园,2室2厅,79平米,2500
20191026,渝北,两路,合租·北湖支路,4居室,15平米,520
20191026,渝北,两路,整租·金港国际,2室2厅,77平米,2000
20191026,渝北,两路,合租·翠湖路一巷71号,4居室,15平米,520
20191026,渝北,两路,整租·蓝天锦园,3室1厅,70平米,600
20191026,渝北,两路,整租·龙升街社区,2室1厅,67平米,800
20191026,渝北,两路,整租·龙兴街社区,3室2厅,114平米,1000
20191026,渝北,两路,整租·龙平支街,2室2厅,86平米,1000
20191026,渝北,两路,整租·山水绿城,3室2厅,120平米,2800
20191026,渝北,两路,整租·龙平街3巷,3室2厅,115平米,1500
20191026,渝北,两路,整租·绣湖港湾,2室1厅,69平米,1600
20191026,渝北,两路,合租·南湖花园,5居室,15平米,510
20191026,渝北,两路,整租·泰和苑,3室2厅,77平米,1200
20191026,渝北,两路,合租·翠湖路一巷71号,4居室,17平米,520
20191026,渝北,两路,整租·龙平支街,2室2厅,98平米,1100
20191026,渝北,两路,合租·津和苑,4居室,15平米,510
20191026,渝北,两路,整租·龙平支街,3室2厅,98平米,1100
20191026,渝北,两路,合租·南湖花园,5居室,16平米,510
20191026,渝北,两路,合租·北湖支路,4居室,15平米,520
20191026,渝北,两路,合租·津和苑,4居室,17平米,510
20191026,渝北,两路,整租·双凤路小区,2室1厅,65平米,1300
20191026,渝北,两路,整租·双龙西路,4室2厅,140平米,1600
20191026,渝北,两路,整租·龙平街3巷,6室1厅,158平米,1500
20191026,渝北,两路,整租·金港国际,1室1厅,48平米,1600
20191026,渝北,两路,整租·金港国际,2室1厅,80平米,1800
20191026,渝北,两路,整租·金港国际,2室1厅,51平米,1800
20191026,渝北,两路,整租·龙平街3巷,3室1厅,106平米,1500
20191026,渝北,两路,整租·金港国际,2室1厅,74平米,2400
20191026,渝北,两路,整租·金港国际,3室2厅,100平米,2500
20191026,渝北,两路,整租·玉宇佳苑,3室2厅,150平米,1900
20191026,渝北,两路,整租·山水绿城,3室1厅,80平米,2600
20191026,渝北,两路,整租·北城佳园,3室2厅,110平米,2800
20191026,渝北,两路,整租·金港国际,3室2厅,102平米,2800
