20191026,渝北,新牌坊,整租·邮政绿苑,3室1厅,119平米,800
20191026,渝北,新牌坊,整租·君悦世纪,2室1厅,53平米,1800
20191026,渝北,新牌坊,合租·冠宏时代,2居室,68平米,1000
20191026,渝北,新牌坊,合租·韵叶花园,5居室,24平米,1050
20191026,渝北,新牌坊,整租·君悦世纪,1室1厅,54平米,1000
20191026,渝北,新牌坊,合租·北城清迈阳光,4居室,22平米,800
20191026,渝北,新牌坊,整租·邮政绿苑,1室0厅,33平米,400
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,27平米,850
20191026,渝北,新牌坊,整租·润都7号,2室1厅,81平米,1800
20191026,渝北,新牌坊,合租·邮政绿苑,3居室,112平米,1000
20191026,渝北,新牌坊,整租·佰度SOHO,1室1厅,40平米,1800
20191026,渝北,新牌坊,合租·北城清迈阳光,4居室,20平米,800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1000
20191026,渝北,新牌坊,合租·北城清迈阳光,5居室,16平米,800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,27平米,1000
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1735
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,31平米,1500
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,27平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1000
20191026,渝北,新牌坊,整租·北城布丁house,1室1厅,42平米,1500
20191026,渝北,新牌坊,合租·北城清迈阳光,5居室,18平米,850
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1000
20191026,渝北,新牌坊,合租·北城清迈阳光,4居室,21平米,800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1600
20191026,渝北,新牌坊,合租·北城清迈阳光,3居室,20平米,830
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1600
20191026,渝北,新牌坊,合租·北城清迈阳光,3居室,21平米,830
20191026,渝北,新牌坊,合租·北城清迈阳光,3居室,21平米,830
20191026,渝北,新牌坊,合租·北城清迈阳光,3居室,15平米,700
20191026,渝北,新牌坊,合租·银海北极星,4居室,18平米,900
20191026,渝北,新牌坊,合租·北城清迈阳光,4居室,21平米,780
20191026,渝北,新牌坊,整租·北城清迈阳光,1室0厅,44平米,1600
20191026,渝北,新牌坊,合租·锦上华庭,5居室,17平米,920
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1680
20191026,渝北,新牌坊,合租·碧云花园,4居室,16平米,750
20191026,渝北,新牌坊,整租·荣锦龙汇苑,1室0厅,35平米,1800
20191026,渝北,新牌坊,合租·碧云花园,4居室,15平米,710
20191026,渝北,新牌坊,整租·北城阳光今典,1室1厅,25平米,1300
20191026,渝北,新牌坊,整租·润都7号,2室1厅,45平米,1800
20191026,渝北,新牌坊,整租·金城地豪,1室1厅,55平米,1500
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,31平米,1700
20191026,渝北,新牌坊,整租·佰度SOHO,1室1厅,34平米,1700
20191026,渝北,新牌坊,合租·碧云花园,3居室,18平米,1000
20191026,渝北,新牌坊,整租·北城阳光今典,1室0厅,20平米,1100
20191026,渝北,新牌坊,合租·北城清迈阳光,5居室,10平米,880
20191026,渝北,新牌坊,整租·北城布丁house,1室1厅,42平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1450
20191026,渝北,新牌坊,整租·云天恋城,2室1厅,63平米,1650
20191026,渝北,新牌坊,整租·荣升部落格,1室1厅,45平米,1500
20191026,渝北,新牌坊,整租·荣升部落格,1室1厅,47平米,1800
20191026,渝北,新牌坊,整租·润都7号,1室1厅,40平米,1800
20191026,渝北,新牌坊,整租·君悦世纪,1室1厅,56平米,1800
20191026,渝北,新牌坊,合租·北城清迈阳光,5居室,23平米,830
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,33平米,1700
20191026,渝北,新牌坊,合租·云天恋城,4居室,15平米,1000
20191026,渝北,新牌坊,整租·香山花园B区,1室2厅,63平米,1500
20191026,渝北,新牌坊,合租·荣锦龙汇苑,3居室,20平米,1000
20191026,渝北,新牌坊,整租·金城地豪,1室1厅,56平米,1600
20191026,渝北,新牌坊,合租·北城清迈阳光,5居室,8平米,820
20191026,渝北,新牌坊,合租·碧云花园,4居室,16平米,750
20191026,渝北,新牌坊,整租·君悦世纪,2室1厅,53平米,1800
20191026,渝北,新牌坊,整租·都市坐标,2室1厅,81平米,1100
20191026,渝北,新牌坊,合租·锦绣廣苑,4居室,12平米,780
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,27平米,1600
20191026,渝北,新牌坊,合租·锦绣廣苑,4居室,15平米,750
20191026,渝北,新牌坊,整租·北城阳光尚线,1室2厅,66平米,1200
20191026,渝北,新牌坊,合租·香山花园,4居室,20平米,1000
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,20平米,1400
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1700
20191026,渝北,新牌坊,合租·君悦世纪,1居室,53平米,1100
20191026,渝北,新牌坊,整租·金童综合楼,1室0厅,26平米,1200
20191026,渝北,新牌坊,整租·荣升部落格,1室1厅,49平米,1600
20191026,渝北,新牌坊,合租·荣锦龙汇苑,5居室,15平米,950
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,27平米,1500
20191026,渝北,新牌坊,合租·银海北极星,4居室,15平米,930
20191026,渝北,新牌坊,整租·荣升部落格,2室1厅,56平米,1800
20191026,渝北,新牌坊,整租·润都7号,1室0厅,40平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1700
20191026,渝北,新牌坊,整租·中渝香奈公馆,2室1厅,110平米,1500
20191026,渝北,新牌坊,整租·加新时代印象,2室1厅,52平米,1600
20191026,渝北,新牌坊,整租·荣升部落格,1室1厅,48平米,1600
20191026,渝北,新牌坊,整租·金城地豪,1室1厅,58平米,1800
20191026,渝北,新牌坊,合租·香山花园,4居室,12平米,900
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1700
20191026,渝北,新牌坊,合租·北城清迈阳光,4居室,20平米,800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,27平米,1600
20191026,渝北,新牌坊,整租·云天恋城,1室1厅,30平米,1500
20191026,渝北,新牌坊,整租·渝静苑,1室1厅,42平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,33平米,1350
20191026,渝北,新牌坊,合租·碧云花园,3居室,6平米,750
20191026,渝北,新牌坊,合租·香山花园,4居室,12平米,930
20191026,渝北,新牌坊,整租·红锦大道554号,2室2厅,71平米,1800
20191026,渝北,新牌坊,合租·荣锦龙汇苑,3居室,18平米,900
20191026,渝北,新牌坊,整租·润都7号,1室1厅,43平米,1800
20191026,渝北,新牌坊,整租·北城布丁house,1室1厅,45平米,1400
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,28平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,28平米,1500
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,35平米,1800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,30平米,1800
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,30平米,1700
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室1厅,27平米,1600
20191026,渝北,新牌坊,整租·碧桂园嘉誉,1室0厅,27平米,1500
20191026,渝北,新牌坊,整租·北城阳光尚线,1室1厅,50平米,1800
