20191026,渝中,袁家岗,整租·袁家岗1号,1室1厅,29平米,800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,32平米,1600
20191026,渝中,袁家岗,整租·文化六村,1室1厅,54平米,800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,57平米,1000
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,48平米,1500
20191026,渝中,袁家岗,整租·文化六村,2室1厅,50平米,1000
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,47平米,1100
20191026,渝中,袁家岗,整租·文化六村,2室1厅,60平米,1000
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,46平米,1000
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,37平米,1300
20191026,渝中,袁家岗,合租·袁家岗150号,4居室,16平米,510
20191026,渝中,袁家岗,整租·自由左岸,1室1厅,40平米,1300
20191026,渝中,袁家岗,合租·袁家岗居住区,4居室,15平米,520
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,39平米,1400
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1500
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,46平米,1500
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,52平米,1500
20191026,渝中,袁家岗,整租·俊豪时代,1室0厅,38平米,1500
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1500
20191026,渝中,袁家岗,整租·文化六村,1室1厅,50平米,1500
20191026,渝中,袁家岗,合租·袁家岗150号,4居室,17平米,510
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,56平米,1500
20191026,渝中,袁家岗,合租·金茂珑悦,3居室,18平米,810
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1500
20191026,渝中,袁家岗,合租·中新城上城,4居室,16平米,820
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1500
20191026,渝中,袁家岗,合租·金茂珑悦,3居室,20平米,900
20191026,渝中,袁家岗,合租·金茂珑悦,3居室,20平米,850
20191026,渝中,袁家岗,合租·中新城上城,4居室,16平米,850
20191026,渝中,袁家岗,合租·袁家岗居住区,4居室,17平米,520
20191026,渝中,袁家岗,合租·袁家岗居住区,4居室,15平米,580
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,59平米,1500
20191026,渝中,袁家岗,合租·金茂珑悦,3居室,20平米,900
20191026,渝中,袁家岗,整租·上城奥悦,1室0厅,43平米,1700
20191026,渝中,袁家岗,合租·金茂珑悦,4居室,18平米,800
20191026,渝中,袁家岗,整租·袁家岗2号,4室2厅,118平米,2500
20191026,渝中,袁家岗,合租·袁家岗150号,4居室,16平米,510
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,56平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,47平米,1800
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,45平米,1550
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1650
20191026,渝中,袁家岗,整租·中新城上城,2室1厅,57平米,1900
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,42平米,1400
20191026,渝中,袁家岗,整租·中新城上城,1室1厅,58平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,32平米,1600
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,61平米,1800
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1700
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,47平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,45平米,1800
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1800
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,47平米,1600
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,47平米,1600
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,48平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,42平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,48平米,1800
20191026,渝中,袁家岗,整租·金茂未来域,2室1厅,78平米,1600
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,48平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,48平米,1700
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,49平米,1800
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,40平米,1700
